81.253.0.0,81.253.95.255,isp,FR,AS28708 
81.253.96.0,81.253.103.255,isp,JO, 
81.253.104.0,81.253.111.255,isp,JO,AS8376 
81.253.112.0,81.253.119.255,isp,JO, 
81.253.120.0,81.253.127.255,isp,FR,AS3215 
81.253.128.0,81.253.128.167,isp,FR, 
81.253.128.168,81.253.128.175,business,FR, 
81.253.128.176,81.253.128.183,isp,FR,AS3215 
81.253.128.184,81.253.128.255,isp,FR, 
81.253.129.0,81.253.131.255,business,FR, 
81.253.132.0,81.253.132.255,isp,FR, 
81.253.133.0,81.253.134.15,isp,FR,AS3215 
81.253.134.16,81.253.134.39,business,FR, 
81.253.134.40,81.253.134.127,isp,FR,AS3215 
81.253.134.128,81.253.134.159,isp,FR, 
81.253.134.160,81.253.135.127,isp,FR,AS3215 
81.253.135.128,81.253.135.135,business,FR, 
81.253.135.136,81.253.135.255,isp,FR,AS3215 
81.253.136.0,81.253.136.63,business,FR, 
81.253.136.64,81.253.136.95,isp,FR, 
81.253.136.96,81.253.136.127,isp,FR,AS3215 
81.253.136.128,81.253.136.255,business,FR, 
81.253.137.0,81.253.141.255,isp,FR, 
81.253.142.0,81.253.142.255,business,FR, 
81.253.143.0,81.253.144.31,isp,FR, 
81.253.144.32,81.253.144.255,isp,FR,AS3215 
81.253.145.0,81.253.145.127,isp,FR, 
81.253.145.128,81.253.145.255,isp,FR,AS3215 
81.253.146.0,81.253.147.255,isp,FR, 
81.253.148.0,81.253.148.255,business,FR, 
81.253.149.0,81.253.149.15,isp,FR, 
81.253.149.16,81.253.149.31,isp,FR,AS3215 
81.253.149.32,81.253.149.37,isp,FR, 
81.253.149.38,81.253.149.255,isp,FR,AS3215 
81.253.150.0,81.253.154.255,isp,FR, 
81.253.155.0,81.253.155.255,isp,FR,AS3215 
81.253.156.0,81.253.156.255,business,FR, 
81.253.157.0,81.253.157.103,isp,FR, 
81.253.157.104,81.253.157.127,isp,FR,AS3215 
81.253.157.128,81.253.157.255,business,FR, 
81.253.158.0,81.253.158.63,isp,FR,AS3215 
81.253.158.64,81.253.158.95,isp,FR, 
81.253.158.96,81.253.158.255,isp,FR,AS3215 
81.253.159.0,81.253.159.47,isp,FR, 
81.253.159.48,81.253.159.63,isp,FR,AS3215 
81.253.159.64,81.253.159.135,isp,FR, 
81.253.159.136,81.253.159.140,isp,FR,AS3215 
81.253.159.141,81.253.160.127,isp,FR, 
81.253.160.128,81.253.160.255,isp,FR,AS3215 
81.253.161.0,81.253.162.127,isp,FR, 
81.253.162.128,81.253.162.255,isp,FR,AS3215 
81.253.163.0,81.253.163.127,isp,FR, 
81.253.163.128,81.253.163.191,isp,FR,AS3215 
81.253.163.192,81.253.163.255,isp,FR, 
81.253.164.0,81.253.164.159,isp,FR,AS3215 
81.253.164.160,81.253.164.175,isp,FR, 
81.253.164.176,81.253.165.128,isp,FR,AS3215 
81.253.165.129,81.253.165.136,isp,FR, 
81.253.165.137,81.253.165.255,isp,FR,AS3215 
81.253.166.0,81.253.167.255,business,FR, 
81.253.168.0,81.253.170.255,isp,FR, 
81.253.171.0,81.253.171.127,isp,FR,AS3215 
81.253.171.128,81.253.171.255,isp,FR, 
81.253.172.0,81.253.172.63,business,FR, 
81.253.172.64,81.253.172.127,isp,FR,AS3215 
81.253.172.128,81.253.172.191,business,FR, 
81.253.172.192,81.253.172.255,isp,FR, 
81.253.173.0,81.253.173.95,business,FR, 
81.253.173.96,81.253.173.119,isp,FR,AS3215 
81.253.173.120,81.253.175.127,business,FR, 
81.253.175.128,81.253.175.191,isp,FR,AS3215 
81.253.175.192,81.253.175.255,isp,FR, 
81.253.176.0,81.253.176.127,business,FR, 
81.253.176.128,81.253.176.255,isp,FR, 
81.253.177.0,81.253.178.255,business,FR, 
81.253.179.0,81.253.179.255,isp,FR, 
81.253.180.0,81.253.186.255,business,FR, 
81.253.187.0,81.253.187.255,isp,FR, 
81.253.188.0,81.253.189.255,business,FR, 
81.253.190.0,81.253.190.255,isp,FR, 
81.253.191.0,81.253.191.63,business,FR, 
81.253.191.64,81.253.191.127,isp,FR,AS3215 
81.253.191.128,81.253.191.191,business,FR, 
81.253.191.192,81.253.191.255,isp,FR,AS3215 
81.253.192.0,81.253.201.255,isp,FR, 
81.253.202.0,81.253.205.255,business,FR, 
81.253.206.0,81.253.206.15,isp,FR,AS3215 
81.253.206.16,81.253.206.67,isp,FR, 
81.253.206.68,81.253.206.87,isp,FR,AS3215 
81.253.206.88,81.253.206.88,isp,FR, 
81.253.206.89,81.253.206.91,isp,FR,AS3215 
81.253.206.92,81.253.206.93,isp,FR, 
81.253.206.94,81.253.206.103,isp,FR,AS3215 
81.253.206.104,81.253.206.111,isp,FR, 
81.253.206.112,81.253.206.115,isp,FR,AS3215 
81.253.206.116,81.253.206.119,isp,FR, 
81.253.206.120,81.253.206.123,isp,FR,AS3215 
81.253.206.124,81.253.206.125,isp,FR, 
81.253.206.126,81.253.206.143,isp,FR,AS3215 
81.253.206.144,81.253.206.151,isp,FR, 
81.253.206.152,81.253.206.160,isp,FR,AS3215 
81.253.206.161,81.253.206.161,isp,FR, 
81.253.206.162,81.253.206.162,isp,FR,AS3215 
81.253.206.163,81.253.206.166,isp,FR, 
81.253.206.167,81.253.206.175,isp,FR,AS3215 
81.253.206.176,81.253.206.191,isp,FR, 
81.253.206.192,81.253.206.255,isp,FR,AS3215 
81.253.207.0,81.253.207.7,isp,FR, 
81.253.207.8,81.253.207.15,isp,FR,AS3215 
81.253.207.16,81.253.207.19,isp,FR, 
81.253.207.20,81.253.207.23,isp,FR,AS3215 
81.253.207.24,81.253.207.43,isp,FR, 
81.253.207.44,81.253.207.87,isp,FR,AS3215 
81.253.207.88,81.253.207.89,isp,FR, 
81.253.207.90,81.253.207.115,isp,FR,AS3215 
81.253.207.116,81.253.207.119,isp,FR, 
81.253.207.120,81.253.207.121,isp,FR,AS3215 
81.253.207.122,81.253.207.123,isp,FR, 
81.253.207.124,81.253.207.127,isp,FR,AS3215 
81.253.207.128,81.253.207.135,isp,FR, 
81.253.207.136,81.253.207.167,isp,FR,AS3215 
81.253.207.168,81.253.207.175,isp,FR, 
81.253.207.176,81.253.207.255,isp,FR,AS3215 
81.253.208.0,81.253.208.31,isp,FR, 
81.253.208.32,81.253.209.255,isp,FR,AS3215 
81.253.210.0,81.253.210.0,isp,FR, 
81.253.210.1,81.253.217.255,isp,FR,AS3215 
81.253.218.0,81.253.218.6,isp,FR, 
