81.244.0.0,81.244.95.255,isp,BE,AS5432 
81.244.96.0,81.244.191.255,business,BE,AS5432 
81.244.192.0,81.244.239.255,isp,BE,AS5432 
81.244.240.0,81.244.249.255,business,BE,AS5432 
81.244.250.0,81.244.251.39,isp,BE,AS5432 
81.244.251.40,81.244.254.111,business,BE,AS5432 
81.244.254.112,81.244.254.115,isp,BE,AS5432 
81.244.254.116,81.244.254.167,business,BE,AS5432 
81.244.254.168,81.244.254.187,isp,BE,AS5432 
81.244.254.188,81.244.254.191,business,BE,AS5432 
81.244.254.192,81.244.254.207,isp,BE,AS5432 
81.244.254.208,81.244.254.255,business,BE,AS5432 
81.244.255.0,81.244.255.15,isp,BE,AS5432 
81.244.255.16,81.244.255.111,business,BE,AS5432 
81.244.255.112,81.244.255.115,isp,BE,AS5432 
81.244.255.116,81.244.255.143,business,BE,AS5432 
81.244.255.144,81.245.3.255,isp,BE,AS5432 
