81.222.0.0,81.222.95.255,isp,RU,AS3216 
81.222.96.0,81.222.111.255,isp,RU,AS31368 
81.222.112.0,81.222.112.255,isp,RU,AS3216 
81.222.113.0,81.222.115.255,business,RU,AS3216 
81.222.116.0,81.222.116.63,isp,RU,AS3216 
81.222.116.64,81.222.117.255,business,RU,AS3216 
81.222.118.0,81.222.118.255,business,RU,AS34381 
81.222.119.0,81.222.119.191,isp,RU,AS3216 
81.222.119.192,81.222.122.127,business,RU,AS3216 
81.222.122.128,81.222.122.255,isp,RU,AS3216 
81.222.123.0,81.222.127.255,business,RU,AS3216 
81.222.128.0,81.222.128.255,business,RU,AS20597 
81.222.129.0,81.222.129.255,business,RU,AS3216 
81.222.130.0,81.222.132.255,isp,RU,AS20597 
81.222.133.0,81.222.133.255,business,RU,AS20597 
81.222.134.0,81.222.143.255,isp,RU,AS20597 
81.222.144.0,81.222.191.255,isp,RU,AS3216 
81.222.192.0,81.222.193.23,business,RU,AS20597 
81.222.193.24,81.222.193.75,isp,RU,AS20597 
81.222.193.76,81.222.193.79,business,RU,AS20597 
81.222.193.80,81.222.193.87,isp,RU,AS20597 
81.222.193.88,81.222.193.95,business,RU,AS20597 
81.222.193.96,81.222.193.143,isp,RU,AS20597 
81.222.193.144,81.222.193.151,business,RU,AS20597 
81.222.193.152,81.222.193.183,isp,RU,AS20597 
81.222.193.184,81.222.193.195,business,RU,AS20597 
81.222.193.196,81.222.193.207,isp,RU,AS20597 
81.222.193.208,81.222.193.223,business,RU,AS20597 
81.222.193.224,81.222.194.15,isp,RU,AS20597 
81.222.194.16,81.222.194.43,business,RU,AS20597 
81.222.194.44,81.222.194.55,isp,RU,AS20597 
81.222.194.56,81.222.194.63,business,RU,AS20597 
81.222.194.64,81.222.194.67,isp,RU,AS20597 
81.222.194.68,81.222.194.71,business,RU,AS20597 
81.222.194.72,81.222.194.79,isp,RU,AS20597 
81.222.194.80,81.222.194.83,business,RU,AS20597 
81.222.194.84,81.222.194.87,isp,RU,AS20597 
81.222.194.88,81.222.194.103,business,RU,AS20597 
81.222.194.104,81.222.194.107,isp,RU,AS20597 
81.222.194.108,81.222.194.159,business,RU,AS20597 
81.222.194.160,81.222.194.191,isp,RU,AS20597 
81.222.194.192,81.222.194.199,business,RU,AS20597 
81.222.194.200,81.222.194.219,isp,RU,AS20597 
81.222.194.220,81.222.195.31,business,RU,AS20597 
81.222.195.32,81.222.195.35,isp,RU,AS20597 
81.222.195.36,81.222.195.63,business,RU,AS20597 
81.222.195.64,81.222.195.95,isp,RU,AS20597 
81.222.195.96,81.222.195.127,business,RU,AS20597 
81.222.195.128,81.222.195.135,isp,RU,AS20597 
81.222.195.136,81.222.195.191,business,RU,AS20597 
81.222.195.192,81.222.195.211,isp,RU,AS20597 
81.222.195.212,81.222.195.247,business,RU,AS20597 
81.222.195.248,81.222.195.255,isp,RU,AS20597 
81.222.196.0,81.222.197.255,business,RU,AS3216 
81.222.198.0,81.222.198.31,business,RU,AS20597 
81.222.198.32,81.222.198.39,isp,RU,AS20597 
81.222.198.40,81.222.198.47,business,RU,AS20597 
81.222.198.48,81.222.198.51,isp,RU,AS20597 
81.222.198.52,81.222.198.67,business,RU,AS20597 
81.222.198.68,81.222.198.71,isp,RU,AS20597 
81.222.198.72,81.222.198.99,business,RU,AS20597 
81.222.198.100,81.222.198.103,isp,RU,AS20597 
81.222.198.104,81.222.198.107,business,RU,AS20597 
81.222.198.108,81.222.198.123,isp,RU,AS20597 
81.222.198.124,81.222.198.127,business,RU,AS20597 
81.222.198.128,81.222.198.159,isp,RU,AS20597 
81.222.198.160,81.222.198.207,business,RU,AS20597 
81.222.198.208,81.222.198.215,isp,RU,AS20597 
81.222.198.216,81.222.199.255,business,RU,AS20597 
81.222.200.0,81.222.200.7,isp,RU,AS20597 
81.222.200.8,81.222.200.15,business,RU,AS20597 
81.222.200.16,81.222.200.79,isp,RU,AS20597 
81.222.200.80,81.222.200.87,business,RU,AS20597 
81.222.200.88,81.222.200.95,isp,RU,AS20597 
81.222.200.96,81.222.200.167,business,RU,AS20597 
81.222.200.168,81.222.200.195,isp,RU,AS20597 
81.222.200.196,81.222.200.199,business,RU,AS20597 
81.222.200.200,81.222.200.207,isp,RU,AS20597 
81.222.200.208,81.222.200.211,business,RU,AS20597 
81.222.200.212,81.222.200.223,isp,RU,AS20597 
81.222.200.224,81.222.200.255,business,RU,AS20597 
81.222.201.0,81.222.201.255,isp,RU,AS20597 
81.222.202.0,81.222.202.255,business,RU,AS3216 
81.222.203.0,81.222.203.3,business,RU,AS20597 
81.222.203.4,81.222.203.11,isp,RU,AS20597 
81.222.203.12,81.222.203.255,business,RU,AS20597 
81.222.204.0,81.222.205.255,business,RU,AS3216 
81.222.206.0,81.222.206.31,business,RU,AS20597 
81.222.206.32,81.222.206.39,isp,RU,AS20597 
81.222.206.40,81.222.206.43,business,RU,AS20597 
81.222.206.44,81.222.206.63,isp,RU,AS20597 
81.222.206.64,81.222.206.67,business,RU,AS20597 
81.222.206.68,81.222.206.79,isp,RU,AS20597 
81.222.206.80,81.222.206.119,business,RU,AS20597 
81.222.206.120,81.222.206.123,isp,RU,AS20597 
81.222.206.124,81.222.206.223,business,RU,AS20597 
81.222.206.224,81.222.206.227,isp,RU,AS20597 
81.222.206.228,81.222.206.239,business,RU,AS20597 
81.222.206.240,81.222.206.247,isp,RU,AS20597 
81.222.206.248,81.222.207.31,business,RU,AS20597 
81.222.207.32,81.222.207.63,isp,RU,AS20597 
81.222.207.64,81.222.208.3,business,RU,AS20597 
81.222.208.4,81.222.208.7,isp,RU,AS20597 
81.222.208.8,81.222.208.11,business,RU,AS20597 
