41.242.0.0,41.242.7.255,hosting,KE 
41.242.8.0,41.242.15.255,isp,MU 
41.242.16.0,41.242.31.255,isp,LY 
41.242.32.0,41.242.39.255,isp,MU 
41.242.40.0,41.242.40.255,isp,ZA 
41.242.41.0,41.242.44.255,business,ZA 
41.242.45.0,41.242.45.255,isp,ZA 
41.242.46.0,41.242.47.255,business,ZA 
41.242.48.0,41.242.79.255,isp,NG 
41.242.80.0,41.242.83.255,isp,ZA 
41.242.84.0,41.242.87.255,isp,MU 
41.242.88.0,41.242.91.255,isp,GN 
41.242.92.0,41.242.95.255,isp,MU 
41.242.96.0,41.242.104.255,education,MG 
41.242.105.0,41.242.105.255,isp,MG 
41.242.106.0,41.242.111.255,education,MG 
41.242.112.0,41.242.113.255,isp,GH 
41.242.114.0,41.242.114.255,isp,NG 
41.242.115.0,41.242.115.255,isp,GH 
41.242.116.0,41.242.118.255,isp,YT 
41.242.119.0,41.242.119.31,business,YT 
41.242.119.32,41.242.119.255,isp,YT 
41.242.120.0,41.242.123.255,isp,MU 
41.242.124.0,41.242.127.255,business,RE 
41.242.128.0,41.242.131.255,isp,MU 
41.242.132.0,41.242.135.255,isp,CI 
41.242.136.0,41.242.139.255,isp,MU 
41.242.140.0,41.242.143.255,isp,RW 
41.242.144.0,41.242.151.255,business,MU 
41.242.152.0,41.242.153.31,isp,TD 
41.242.153.32,41.242.153.39,business,TD 
41.242.153.40,41.242.153.71,isp,TD 
41.242.153.72,41.242.153.79,business,TD 
41.242.153.80,41.242.153.255,isp,TD 
41.242.154.0,41.242.154.63,business,TD 
41.242.154.64,41.242.156.255,isp,TD 
41.242.157.0,41.242.157.127,business,TD 
41.242.157.128,41.242.159.255,isp,TD 
41.242.160.0,41.242.175.255,isp,ZA 
41.242.176.0,41.242.191.255,isp,CI 
41.242.192.0,41.242.255.255,isp,ZA 
