41.189.0.0,41.189.31.255,isp,NG,AS36923 
41.189.32.0,41.189.32.255,business,CI,AS29571 
41.189.33.0,41.189.59.255,isp,CI,AS29571 
41.189.60.0,41.189.60.255,business,CI,AS29571 
41.189.61.0,41.189.63.255,isp,CI,AS29571 
41.189.64.0,41.189.66.255,business,ZA,AS37179 
41.189.67.0,41.189.69.255,isp,ZA,AS37179 
41.189.70.0,41.189.72.255,business,ZA,AS37179 
41.189.73.0,41.189.74.255,isp,ZA,AS37179 
41.189.75.0,41.189.75.255,business,ZA,AS37179 
41.189.76.0,41.189.76.255,isp,ZA,AS37179 
41.189.77.0,41.189.77.255,business,ZA,AS37179 
41.189.78.0,41.189.78.255,isp,ZA,AS37179 
41.189.79.0,41.189.86.255,business,ZA,AS37179 
41.189.87.0,41.189.88.255,isp,ZA,AS37179 
41.189.89.0,41.189.95.255,business,ZA,AS37179 
41.189.96.0,41.189.159.255,isp,CI,AS36974 
41.189.160.0,41.189.191.255,isp,GH,AS30986 
41.189.192.0,41.189.193.207,isp,CD,AS37102 
41.189.193.208,41.189.193.223,business,CD, 
41.189.193.224,41.189.195.255,isp,CD,AS37102 
41.189.196.0,41.189.197.255,business,CD,AS37102 
41.189.198.0,41.189.206.255,isp,CD,AS37102 
41.189.207.0,41.189.207.255,isp,CD, 
41.189.208.0,41.189.208.255,business,CD,AS37102 
41.189.209.0,41.189.209.255,isp,CD, 
41.189.210.0,41.189.211.255,isp,CD,AS37102 
41.189.212.0,41.189.214.255,business,CD,AS37102 
41.189.215.0,41.189.215.255,isp,CD,AS37102 
41.189.216.0,41.189.219.255,isp,CD, 
41.189.220.0,41.189.223.255,isp,CD,AS37102 
41.189.224.0,41.189.225.255,isp,DJ,AS30990 
41.189.226.0,41.189.227.255,business,DJ,AS30990 
41.189.228.0,41.189.229.255,isp,SO,AS30990 
41.189.230.0,41.189.231.255,business,DJ,AS30990 
41.189.232.0,41.189.239.255,isp,DJ,AS30990 
41.189.240.0,41.189.253.255,business,DJ,AS30990 
41.189.254.0,41.189.254.255,business,DJ, 
41.189.255.0,41.189.255.255,isp,DJ,AS30990 
