41.202.0.0,41.202.31.255,isp,MU,AS8452 
41.202.32.0,41.202.39.255,isp,ZA,AS25818 
41.202.40.0,41.202.40.255,isp,CM,AS25818 
41.202.41.0,41.202.49.23,isp,ZA,AS25818 
41.202.49.24,41.202.49.27,isp,ZM,AS25818 
41.202.49.28,41.202.55.255,isp,ZA,AS25818 
41.202.56.0,41.202.56.255,isp,SG,AS25818 
41.202.57.0,41.202.61.199,isp,ZA,AS25818 
41.202.61.200,41.202.61.203,business,KE,AS25818 
41.202.61.204,41.202.63.255,isp,ZA,AS25818 
41.202.64.0,41.202.95.255,isp,CI,AS29571 
41.202.96.0,41.202.127.255,isp,CI,AS36974 
41.202.128.0,41.202.159.255,isp,MU,AS8452 
41.202.160.0,41.202.160.7,business,SD, 
41.202.160.8,41.202.160.11,isp,SD, 
41.202.160.12,41.202.160.15,business,SD, 
41.202.160.16,41.202.160.19,isp,SD, 
41.202.160.20,41.202.160.23,business,SD, 
41.202.160.24,41.202.160.27,business,SD,AS33788 
41.202.160.28,41.202.160.39,business,SD, 
41.202.160.40,41.202.160.51,isp,SD, 
41.202.160.52,41.202.160.59,business,SD, 
41.202.160.60,41.202.160.63,isp,SD, 
41.202.160.64,41.202.160.67,business,SD, 
41.202.160.68,41.202.160.75,isp,SD, 
41.202.160.76,41.202.160.79,business,SD, 
41.202.160.80,41.202.160.83,business,SD,AS33788 
41.202.160.84,41.202.160.87,business,SD, 
41.202.160.88,41.202.160.91,isp,SD, 
41.202.160.92,41.202.160.95,business,SD, 
41.202.160.96,41.202.160.107,isp,SD, 
41.202.160.108,41.202.160.111,business,SD,AS33788 
41.202.160.112,41.202.160.115,isp,SD, 
41.202.160.116,41.202.160.119,business,SD, 
41.202.160.120,41.202.160.123,isp,SD, 
41.202.160.124,41.202.160.127,business,SD, 
41.202.160.128,41.202.160.135,isp,SD, 
41.202.160.136,41.202.160.139,business,SD, 
41.202.160.140,41.202.160.151,business,SD,AS33788 
41.202.160.152,41.202.160.155,isp,SD, 
41.202.160.156,41.202.160.159,business,SD,AS33788 
41.202.160.160,41.202.160.175,business,SD, 
41.202.160.176,41.202.160.179,isp,SD, 
41.202.160.180,41.202.160.183,business,SD, 
41.202.160.184,41.202.160.187,business,SD,AS33788 
41.202.160.188,41.202.160.191,isp,SD, 
41.202.160.192,41.202.160.195,business,SD, 
41.202.160.196,41.202.160.199,isp,SD, 
41.202.160.200,41.202.160.207,business,SD, 
41.202.160.208,41.202.160.211,education,SD, 
41.202.160.212,41.202.160.215,business,SD,AS33788 
41.202.160.216,41.202.160.223,business,SD, 
41.202.160.224,41.202.160.227,isp,SD, 
41.202.160.228,41.202.160.255,business,SD,AS33788 
41.202.161.0,41.202.161.3,isp,SD, 
41.202.161.4,41.202.161.7,business,SD, 
41.202.161.8,41.202.161.15,isp,SD, 
41.202.161.16,41.202.161.27,business,SD, 
41.202.161.28,41.202.161.31,business,SD,AS33788 
41.202.161.32,41.202.161.55,business,SD, 
41.202.161.56,41.202.161.59,business,SD,AS33788 
41.202.161.60,41.202.161.63,isp,SD, 
41.202.161.64,41.202.161.67,business,SD,AS33788 
41.202.161.68,41.202.161.71,business,SD, 
41.202.161.72,41.202.161.79,isp,SD, 
41.202.161.80,41.202.161.87,business,SD, 
41.202.161.88,41.202.161.91,business,SD,AS33788 
41.202.161.92,41.202.161.95,isp,SD, 
41.202.161.96,41.202.162.39,business,SD,AS33788 
41.202.162.40,41.202.162.47,isp,SD,AS33788 
41.202.162.48,41.202.162.207,business,SD,AS33788 
41.202.162.208,41.202.162.223,education,SD,AS33788 
41.202.162.224,41.202.163.7,business,SD,AS33788 
41.202.163.8,41.202.163.11,isp,SD, 
41.202.163.12,41.202.163.23,business,SD, 
41.202.163.24,41.202.163.27,business,SD,AS33788 
41.202.163.28,41.202.163.55,business,SD, 
41.202.163.56,41.202.163.63,business,SD,AS33788 
41.202.163.64,41.202.163.87,business,SD, 
41.202.163.88,41.202.163.95,business,SD,AS33788 
41.202.163.96,41.202.163.103,business,SD, 
