41.219.0.0,41.219.63.255,isp,SN 
41.219.64.0,41.219.127.255,isp,NA 
41.219.128.0,41.219.132.63,isp,NG 
41.219.132.64,41.219.132.71,business,NG 
41.219.132.72,41.219.136.103,isp,NG 
41.219.136.104,41.219.136.111,business,NG 
41.219.136.112,41.219.137.119,isp,NG 
41.219.137.120,41.219.137.127,business,NG 
41.219.137.128,41.219.140.15,isp,NG 
41.219.140.16,41.219.140.23,business,NG 
41.219.140.24,41.219.143.15,isp,NG 
41.219.143.16,41.219.143.23,business,NG 
41.219.143.24,41.219.168.23,isp,NG 
41.219.168.24,41.219.168.31,business,NG 
41.219.168.32,41.219.168.55,isp,NG 
41.219.168.56,41.219.168.63,business,NG 
41.219.168.64,41.219.168.135,isp,NG 
41.219.168.136,41.219.168.143,business,NG 
41.219.168.144,41.219.180.23,isp,NG 
41.219.180.24,41.219.180.39,business,NG 
41.219.180.40,41.219.180.47,isp,NG 
41.219.180.48,41.219.180.63,education,NG 
41.219.180.64,41.219.180.71,business,NG 
41.219.180.72,41.219.180.95,isp,NG 
41.219.180.96,41.219.180.111,business,NG 
41.219.180.112,41.219.180.119,isp,NG 
41.219.180.120,41.219.180.127,business,NG 
41.219.180.128,41.219.180.159,isp,NG 
41.219.180.160,41.219.180.167,business,NG 
41.219.180.168,41.219.180.175,isp,NG 
41.219.180.176,41.219.180.183,business,NG 
41.219.180.184,41.219.180.191,isp,NG 
41.219.180.192,41.219.180.199,business,NG 
41.219.180.200,41.219.185.23,isp,NG 
41.219.185.24,41.219.185.31,business,NG 
41.219.185.32,41.219.185.239,isp,NG 
41.219.185.240,41.219.185.247,business,NG 
41.219.185.248,41.219.186.23,isp,NG 
41.219.186.24,41.219.186.31,business,NG 
41.219.186.32,41.219.186.47,isp,NG 
41.219.186.48,41.219.186.55,business,NG 
41.219.186.56,41.219.186.71,isp,NG 
41.219.186.72,41.219.186.79,business,NG 
41.219.186.80,41.219.186.143,isp,NG 
41.219.186.144,41.219.186.151,business,NG 
41.219.186.152,41.219.186.159,isp,NG 
41.219.186.160,41.219.186.175,business,NG 
41.219.186.176,41.219.186.191,isp,NG 
41.219.186.192,41.219.186.199,business,NG 
41.219.186.200,41.219.186.207,isp,NG 
41.219.186.208,41.219.186.215,business,NG 
41.219.186.216,41.219.186.223,isp,NG 
41.219.186.224,41.219.186.231,business,NG 
41.219.186.232,41.219.186.247,isp,NG 
41.219.186.248,41.219.187.7,business,NG 
41.219.187.8,41.219.187.15,isp,NG 
41.219.187.16,41.219.187.47,business,NG 
41.219.187.48,41.219.187.87,isp,NG 
41.219.187.88,41.219.187.95,business,NG 
41.219.187.96,41.219.187.127,isp,NG 
41.219.187.128,41.219.187.135,business,NG 
41.219.187.136,41.219.187.143,isp,NG 
41.219.187.144,41.219.187.151,business,NG 
41.219.187.152,41.219.187.183,isp,NG 
41.219.187.184,41.219.187.191,business,NG 
41.219.187.192,41.219.187.239,isp,NG 
41.219.187.240,41.219.187.247,business,NG 
41.219.187.248,41.219.188.47,isp,NG 
41.219.188.48,41.219.188.71,business,NG 
41.219.188.72,41.219.188.111,isp,NG 
41.219.188.112,41.219.188.119,business,NG 
41.219.188.120,41.219.188.143,isp,NG 
41.219.188.144,41.219.188.151,business,NG 
41.219.188.152,41.219.189.255,isp,NG 
41.219.190.0,41.219.190.7,business,NG 
41.219.190.8,41.219.190.39,isp,NG 
41.219.190.40,41.219.190.47,business,NG 
41.219.190.48,41.219.190.103,isp,NG 
41.219.190.104,41.219.190.119,business,NG 
41.219.190.120,41.219.190.167,isp,NG 
41.219.190.168,41.219.190.175,business,NG 
41.219.190.176,41.219.190.183,isp,NG 
41.219.190.184,41.219.190.191,business,NG 
41.219.190.192,41.219.191.119,isp,NG 
41.219.191.120,41.219.191.127,business,NG 
41.219.191.128,41.219.191.191,isp,NG 
41.219.191.192,41.219.191.199,business,NG 
41.219.191.200,41.219.191.207,isp,NG 
41.219.191.208,41.219.191.215,business,NG 
41.219.191.216,41.219.191.255,isp,NG 
41.219.192.0,41.219.255.255,isp,CI 
