187.110.0.0,187.110.63.255,government,BR 
187.110.64.0,187.110.87.191,isp,BR 
187.110.87.192,187.110.87.195,business,BR 
187.110.87.196,187.110.91.119,isp,BR 
187.110.91.120,187.110.91.123,business,BR 
187.110.91.124,187.110.91.223,isp,BR 
187.110.91.224,187.110.91.231,business,BR 
187.110.91.232,187.110.151.255,isp,BR 
187.110.152.0,187.110.155.255,business,BR 
187.110.156.0,187.110.224.95,isp,BR 
187.110.224.96,187.110.224.103,business,BR 
187.110.224.104,187.110.224.111,isp,BR 
187.110.224.112,187.110.224.151,business,BR 
187.110.224.152,187.110.224.159,isp,BR 
187.110.224.160,187.110.224.175,business,BR 
187.110.224.176,187.110.224.183,isp,BR 
187.110.224.184,187.110.224.239,business,BR 
187.110.224.240,187.110.224.255,isp,BR 
187.110.225.0,187.110.225.7,business,BR 
187.110.225.8,187.110.225.55,isp,BR 
187.110.225.56,187.110.225.59,business,BR 
187.110.225.60,187.110.225.71,isp,BR 
187.110.225.72,187.110.225.111,business,BR 
187.110.225.112,187.110.225.139,isp,BR 
187.110.225.140,187.110.225.143,business,BR 
187.110.225.144,187.110.225.159,isp,BR 
187.110.225.160,187.110.225.191,business,BR 
187.110.225.192,187.110.225.207,isp,BR 
187.110.225.208,187.110.225.223,business,BR 
187.110.225.224,187.110.225.255,isp,BR 
187.110.226.0,187.110.226.255,business,BR 
187.110.227.0,187.110.228.255,isp,BR 
187.110.229.0,187.110.230.15,business,BR 
187.110.230.16,187.110.230.239,isp,BR 
187.110.230.240,187.110.230.247,business,BR 
187.110.230.248,187.110.231.127,isp,BR 
187.110.231.128,187.110.231.255,business,BR 
187.110.232.0,187.110.235.255,isp,BR 
187.110.236.0,187.110.236.15,education,BR 
187.110.236.16,187.110.236.31,isp,BR 
187.110.236.32,187.110.236.175,business,BR 
187.110.236.176,187.110.236.255,isp,BR 
187.110.237.0,187.110.237.15,business,BR 
187.110.237.16,187.110.237.31,isp,BR 
187.110.237.32,187.110.237.47,business,BR 
187.110.237.48,187.110.237.63,isp,BR 
187.110.237.64,187.110.237.79,business,BR 
187.110.237.80,187.110.237.123,isp,BR 
187.110.237.124,187.110.237.255,business,BR 
187.110.238.0,187.110.238.127,isp,BR 
187.110.238.128,187.110.238.143,business,BR 
187.110.238.144,187.110.238.247,isp,BR 
187.110.238.248,187.110.238.255,business,BR 
187.110.239.0,187.111.4.15,isp,BR 
