87.207.45.0,87.207.45.255,isp,PL 
87.207.46.0,87.207.99.255,business,PL 
87.207.100.0,87.207.100.255,isp,PL 
87.207.101.0,87.207.125.255,business,PL 
87.207.126.0,87.207.127.255,isp,PL 
87.207.128.0,87.207.190.255,business,PL 
87.207.191.0,87.207.193.255,isp,PL 
87.207.194.0,87.207.198.255,business,PL 
87.207.199.0,87.207.201.255,isp,PL 
87.207.202.0,87.207.221.255,business,PL 
87.207.222.0,87.207.222.255,isp,PL 
87.207.223.0,87.207.225.255,business,PL 
87.207.226.0,87.207.226.255,isp,PL 
87.207.227.0,87.207.255.255,business,PL 
