87.253.0.0,87.253.23.255,isp,RU,AS13118 
87.253.24.0,87.253.31.255,isp,RU,AS12389 
87.253.32.0,87.253.63.255,isp,GE,AS35805 
87.253.64.0,87.253.95.255,isp,SE,AS29518 
87.253.96.0,87.253.127.255,isp,IT,AS13113 
87.253.128.0,87.253.129.255,hosting,NL,AS20857 
87.253.130.0,87.253.130.63,business,NL,AS20857 
87.253.130.64,87.253.146.127,hosting,NL,AS20857 
87.253.146.128,87.253.146.191,business,NL,AS20857 
87.253.146.192,87.253.146.255,hosting,NL,AS20857 
87.253.147.0,87.253.147.127,business,NL,AS20857 
87.253.147.128,87.253.149.255,hosting,NL,AS20857 
87.253.150.0,87.253.150.127,business,NL,AS20857 
87.253.150.128,87.253.151.255,hosting,NL,AS20857 
87.253.152.0,87.253.152.127,business,NL,AS20857 
87.253.152.128,87.253.156.127,hosting,NL,AS20857 
87.253.156.128,87.253.156.255,business,NL,AS20857 
87.253.157.0,87.253.159.255,hosting,NL,AS20857 
87.253.160.0,87.253.160.27,business,DE,AS9211 
87.253.160.28,87.253.160.35,hosting,DE,AS9211 
87.253.160.36,87.253.160.47,business,DE,AS9211 
87.253.160.48,87.253.160.63,hosting,DE,AS9211 
87.253.160.64,87.253.160.127,business,DE,AS9211 
87.253.160.128,87.253.160.135,hosting,DE,AS9211 
87.253.160.136,87.253.161.255,business,DE,AS9211 
87.253.162.0,87.253.164.63,hosting,DE,AS9211 
87.253.164.64,87.253.164.67,business,DE,AS9211 
87.253.164.68,87.253.164.95,hosting,DE,AS9211 
87.253.164.96,87.253.164.127,business,DE,AS9211 
87.253.164.128,87.253.164.255,hosting,DE,AS9211 
87.253.165.0,87.253.169.255,business,DE,AS9211 
87.253.170.0,87.253.170.255,hosting,DE,AS9211 
87.253.171.0,87.253.182.63,business,DE,AS9211 
87.253.182.64,87.253.182.127,business,DE, 
87.253.182.128,87.253.183.31,business,DE,AS9211 
87.253.183.32,87.253.183.63,business,DE, 
87.253.183.64,87.253.183.159,business,DE,AS9211 
87.253.183.160,87.253.183.167,business,DE, 
87.253.183.168,87.253.183.255,business,DE,AS9211 
87.253.184.0,87.253.187.255,hosting,DE,AS35258 
87.253.188.0,87.253.188.255,hosting,DE,AS206813 
87.253.189.0,87.253.189.191,isp,DE,AS50629 
87.253.189.192,87.253.189.207,business,DE,AS50629 
87.253.189.208,87.253.189.255,isp,DE,AS50629 
87.253.190.0,87.253.191.255,business,DE,AS9211 
87.253.192.0,87.253.223.255,isp,RU,AS12389 
87.253.224.0,87.253.231.255,business,ES,AS48846 
87.253.232.0,87.253.239.255,isp,FR,AS200069 
87.253.240.0,87.253.247.255,business,DE,AS15925 
87.253.248.0,87.253.255.255,isp,DE,AS15925 
