87.232.0.0,87.232.31.255,business,IE,AS25441 
87.232.32.0,87.232.133.255,business,IE,AS34245 
87.232.134.0,87.232.134.255,isp,GB,AS47443 
87.232.135.0,87.232.135.255,business,IE,AS34245 
87.232.136.0,87.232.192.255,business,IE,AS25441 
87.232.193.0,87.232.193.255,isp,IE,AS34245 
87.232.194.0,87.232.223.255,business,IE,AS25441 
87.232.224.0,87.232.224.255,isp,IE,AS34245 
87.232.225.0,87.232.249.255,business,IE,AS25441 
87.232.250.0,87.232.255.255,isp,IE,AS34245 
