87.104.0.0,87.104.63.255,isp,DK,AS44869 
87.104.64.0,87.104.127.255,isp,DK,AS204274 
87.104.128.0,87.104.191.255,isp,DK,AS48288 
87.104.192.0,87.104.216.103,business,DK,AS3292 
87.104.216.104,87.104.216.111,isp,DK,AS3292 
87.104.216.112,87.104.227.63,business,DK,AS3292 
87.104.227.64,87.104.227.71,education,DK,AS3292 
87.104.227.72,87.104.230.3,business,DK,AS3292 
87.104.230.4,87.104.230.7,education,DK,AS3292 
87.104.230.8,87.104.238.11,business,DK,AS3292 
87.104.238.12,87.104.238.15,education,DK,AS3292 
87.104.238.16,87.104.239.255,business,DK,AS3292 
87.104.240.0,87.104.255.255,isp,DK,AS204151 
