207.136.0.0,207.136.63.255,isp,AU,AS38333 
207.136.64.0,207.136.127.255,isp,CA,AS5645 
207.136.128.0,207.136.159.255,isp,US,AS5726 
207.136.160.0,207.136.168.255,isp,US,AS3549 
207.136.169.0,207.136.169.255,business,US,AS3549 
207.136.170.0,207.136.191.255,isp,US,AS3549 
207.136.192.0,207.136.192.63,isp,US,AS5738 
207.136.192.64,207.136.192.71,business,US,AS5738 
207.136.192.72,207.136.192.95,isp,US,AS5738 
207.136.192.96,207.136.192.103,business,US,AS5738 
207.136.192.104,207.136.192.111,isp,US,AS5738 
207.136.192.112,207.136.192.119,business,US,AS5738 
207.136.192.120,207.136.192.215,isp,US,AS5738 
207.136.192.216,207.136.192.223,business,US,AS5738 
207.136.192.224,207.136.192.231,isp,US,AS5738 
207.136.192.232,207.136.192.239,business,US,AS5738 
207.136.192.240,207.136.192.255,isp,US,AS5738 
207.136.193.0,207.136.193.15,business,US,AS5738 
207.136.193.16,207.136.193.55,isp,US,AS5738 
207.136.193.56,207.136.193.71,business,US,AS5738 
207.136.193.72,207.136.193.79,isp,US,AS5738 
207.136.193.80,207.136.193.95,business,US,AS5738 
207.136.193.96,207.136.193.103,isp,US,AS5738 
207.136.193.104,207.136.193.111,business,US,AS5738 
207.136.193.112,207.136.193.127,isp,US,AS5738 
207.136.193.128,207.136.193.135,business,US,AS5738 
207.136.193.136,207.136.193.167,isp,US,AS5738 
207.136.193.168,207.136.193.175,business,US,AS5738 
207.136.193.176,207.136.193.191,isp,US,AS5738 
207.136.193.192,207.136.193.199,business,US,AS5738 
207.136.193.200,207.136.193.215,isp,US,AS5738 
207.136.193.216,207.136.193.223,business,US,AS5738 
207.136.193.224,207.136.195.127,isp,US,AS5738 
207.136.195.128,207.136.195.159,business,US,AS5738 
207.136.195.160,207.136.196.7,isp,US,AS5738 
207.136.196.8,207.136.196.15,business,US,AS5738 
207.136.196.16,207.136.196.23,isp,US,AS5738 
207.136.196.24,207.136.196.31,business,US,AS5738 
207.136.196.32,207.136.196.47,isp,US,AS5738 
207.136.196.48,207.136.196.55,business,US,AS5738 
207.136.196.56,207.136.196.71,isp,US,AS5738 
207.136.196.72,207.136.196.79,business,US,AS5738 
207.136.196.80,207.136.196.95,isp,US,AS5738 
207.136.196.96,207.136.196.135,business,US,AS5738 
207.136.196.136,207.136.196.143,isp,US,AS5738 
207.136.196.144,207.136.196.159,business,US,AS5738 
207.136.196.160,207.136.196.215,isp,US,AS5738 
207.136.196.216,207.136.196.223,business,US,AS5738 
207.136.196.224,207.136.196.231,isp,US,AS5738 
207.136.196.232,207.136.196.239,business,US,AS5738 
207.136.196.240,207.136.198.255,isp,US,AS5738 
207.136.199.0,207.136.199.71,business,US,AS5738 
207.136.199.72,207.136.199.79,isp,US,AS5738 
207.136.199.80,207.136.199.87,business,US,AS5738 
207.136.199.88,207.136.199.119,isp,US,AS5738 
207.136.199.120,207.136.199.127,business,US,AS5738 
207.136.199.128,207.136.199.207,isp,US,AS5738 
207.136.199.208,207.136.199.215,business,US,AS5738 
207.136.199.216,207.136.200.255,isp,US,AS5738 
207.136.201.0,207.136.201.23,business,US,AS5738 
207.136.201.24,207.136.201.31,isp,US,AS5738 
207.136.201.32,207.136.201.39,business,US,AS5738 
207.136.201.40,207.136.201.47,isp,US,AS5738 
207.136.201.48,207.136.201.63,business,US,AS5738 
207.136.201.64,207.136.201.79,isp,US,AS5738 
207.136.201.80,207.136.201.87,business,US,AS5738 
207.136.201.88,207.136.201.103,isp,US,AS5738 
207.136.201.104,207.136.201.111,business,US,AS5738 
207.136.201.112,207.136.201.119,isp,US,AS5738 
207.136.201.120,207.136.201.127,business,US,AS5738 
207.136.201.128,207.136.201.191,isp,US,AS5738 
207.136.201.192,207.136.201.199,business,US,AS5738 
207.136.201.200,207.136.201.255,isp,US,AS5738 
207.136.202.0,207.136.202.15,business,US,AS5738 
207.136.202.16,207.136.202.23,isp,US,AS5738 
207.136.202.24,207.136.202.31,business,US,AS5738 
207.136.202.32,207.136.202.39,isp,US,AS5738 
207.136.202.40,207.136.202.47,business,US,AS5738 
207.136.202.48,207.136.202.55,isp,US,AS5738 
207.136.202.56,207.136.202.79,business,US,AS5738 
