207.166.0.0,207.166.20.255,education,US 
207.166.21.0,207.166.21.255,business,US 
207.166.22.0,207.166.22.255,education,US 
207.166.23.0,207.166.23.255,business,US 
207.166.24.0,207.166.26.255,education,US 
207.166.27.0,207.166.27.255,business,US 
207.166.28.0,207.166.63.255,education,US 
207.166.64.0,207.166.111.255,hosting,US 
207.166.112.0,207.166.112.7,business,US 
207.166.112.8,207.166.112.15,isp,US 
207.166.112.16,207.166.112.31,isp,PR 
207.166.112.32,207.166.112.47,business,PR 
207.166.112.48,207.166.112.63,business,US 
207.166.112.64,207.166.112.71,business,PR 
207.166.112.72,207.166.112.79,isp,US 
207.166.112.80,207.166.112.111,business,US 
207.166.112.112,207.166.112.119,isp,PR 
207.166.112.120,207.166.112.127,isp,US 
207.166.112.128,207.166.112.135,business,US 
207.166.112.136,207.166.112.143,business,PR 
207.166.112.144,207.166.112.151,business,US 
207.166.112.152,207.166.112.159,business,PR 
207.166.112.160,207.166.112.175,business,US 
207.166.112.176,207.166.112.183,isp,PR 
207.166.112.184,207.166.112.191,business,US 
207.166.112.192,207.166.112.215,isp,PR 
207.166.112.216,207.166.112.223,business,PR 
207.166.112.224,207.166.112.231,isp,PR 
207.166.112.232,207.166.112.239,business,PR 
207.166.112.240,207.166.112.247,business,US 
207.166.112.248,207.166.112.255,business,PR 
207.166.113.0,207.166.113.7,isp,PR 
207.166.113.8,207.166.113.15,business,US 
207.166.113.16,207.166.113.23,isp,PR 
207.166.113.24,207.166.113.31,business,US 
207.166.113.32,207.166.113.39,business,PR 
207.166.113.40,207.166.113.63,business,US 
207.166.113.64,207.166.113.79,business,PR 
207.166.113.80,207.166.113.127,business,US 
207.166.113.128,207.166.113.135,isp,PR 
207.166.113.136,207.166.113.143,business,US 
207.166.113.144,207.166.113.151,isp,US 
207.166.113.152,207.166.113.183,business,PR 
207.166.113.184,207.166.113.207,business,US 
207.166.113.208,207.166.113.215,business,PR 
207.166.113.216,207.166.113.239,business,US 
207.166.113.240,207.166.113.255,business,PR 
207.166.114.0,207.166.114.7,business,US 
207.166.114.8,207.166.114.15,business,PR 
207.166.114.16,207.166.114.23,business,US 
207.166.114.24,207.166.114.31,education,US 
207.166.114.32,207.166.114.47,business,PR 
207.166.114.48,207.166.114.55,isp,PR 
207.166.114.56,207.166.114.79,business,PR 
207.166.114.80,207.166.114.95,business,US 
207.166.114.96,207.166.114.111,isp,PR 
207.166.114.112,207.166.114.127,business,US 
207.166.114.128,207.166.114.143,isp,PR 
207.166.114.144,207.166.114.159,business,IL 
207.166.114.160,207.166.114.175,education,US 
207.166.114.176,207.166.114.207,business,US 
207.166.114.208,207.166.114.231,isp,PR 
207.166.114.232,207.166.114.239,business,PR 
207.166.114.240,207.166.116.23,isp,PR 
207.166.116.24,207.166.116.31,business,PR 
207.166.116.32,207.166.116.55,isp,PR 
207.166.116.56,207.166.116.63,education,PR 
207.166.116.64,207.166.116.127,business,PR 
207.166.116.128,207.166.119.55,isp,PR 
207.166.119.56,207.166.119.63,business,PR 
207.166.119.64,207.166.119.239,isp,PR 
207.166.119.240,207.166.119.255,business,PR 
207.166.120.0,207.166.120.87,isp,PR 
207.166.120.88,207.166.120.95,business,PR 
207.166.120.96,207.166.120.107,isp,PR 
207.166.120.108,207.166.120.115,business,PR 
207.166.120.116,207.166.120.119,isp,PR 
207.166.120.120,207.166.120.127,business,PR 
207.166.120.128,207.166.120.135,isp,PR 
207.166.120.136,207.166.120.151,business,PR 
207.166.120.152,207.166.120.183,isp,PR 
207.166.120.184,207.166.120.207,business,PR 
207.166.120.208,207.166.121.255,isp,PR 
207.166.122.0,207.166.123.255,isp,US 
207.166.124.0,207.166.124.31,isp,PR 
207.166.124.32,207.166.124.39,business,PR 
207.166.124.40,207.166.124.63,isp,PR 
207.166.124.64,207.166.124.71,business,PR 
207.166.124.72,207.166.124.79,isp,PR 
207.166.124.80,207.166.124.87,business,PR 
207.166.124.88,207.166.124.107,isp,PR 
207.166.124.108,207.166.124.115,business,PR 
207.166.124.116,207.166.124.223,isp,PR 
207.166.124.224,207.166.124.231,business,PR 
207.166.124.232,207.166.125.79,isp,PR 
207.166.125.80,207.166.125.91,business,PR 
207.166.125.92,207.166.126.91,isp,PR 
207.166.126.92,207.166.126.99,business,PR 
207.166.126.100,207.166.126.163,isp,PR 
207.166.126.164,207.166.126.171,business,PR 
207.166.126.172,207.166.127.79,isp,PR 
207.166.127.80,207.166.127.91,business,PR 
207.166.127.92,207.166.127.247,isp,PR 
207.166.127.248,207.166.127.255,business,PR 
207.166.128.0,207.166.151.255,hosting,US 
207.166.152.0,207.166.159.255,isp,US 
207.166.160.0,207.166.191.255,hosting,SG 
207.166.192.0,207.166.196.143,business,US 
207.166.196.144,207.166.196.159,education,US 
207.166.196.160,207.166.196.223,business,US 
207.166.196.224,207.166.196.231,isp,US 
207.166.196.232,207.166.197.175,business,US 
207.166.197.176,207.166.197.191,isp,US 
207.166.197.192,207.166.198.63,business,US 
207.166.198.64,207.166.198.95,education,US 
207.166.198.96,207.166.198.175,business,US 
207.166.198.176,207.166.198.183,education,US 
207.166.198.184,207.166.198.223,business,US 
207.166.198.224,207.166.198.231,isp,US 
207.166.198.232,207.166.198.255,business,US 
207.166.199.0,207.166.199.255,hosting,US 
207.166.200.0,207.166.200.63,isp,US 
207.166.200.64,207.166.200.127,business,US 
207.166.200.128,207.166.200.191,isp,US 
207.166.200.192,207.166.200.255,business,US 
207.166.201.0,207.166.201.255,hosting,US 
