207.249.32.0,207.249.63.255,business,MX 
207.249.64.0,207.249.95.255,hosting,MX 
207.249.96.0,207.249.129.255,isp,MX 
207.249.130.0,207.249.131.255,business,MX 
207.249.132.0,207.249.133.255,isp,MX 
207.249.134.0,207.249.134.255,business,MX 
207.249.135.0,207.249.137.255,isp,MX 
207.249.138.0,207.249.139.255,business,MX 
207.249.140.0,207.249.141.255,isp,MX 
207.249.142.0,207.249.144.255,education,MX 
207.249.145.0,207.249.145.255,business,MX 
207.249.146.0,207.249.149.255,isp,MX 
207.249.150.0,207.249.151.255,business,MX 
207.249.152.0,207.249.152.255,isp,MX 
207.249.153.0,207.249.154.255,business,MX 
207.249.155.0,207.249.156.95,isp,MX 
207.249.156.96,207.249.156.127,business,MX 
207.249.156.128,207.249.156.255,isp,MX 
207.249.157.0,207.249.157.255,education,MX 
207.249.158.0,207.249.175.255,isp,MX 
207.249.176.0,207.249.176.255,education,MX 
207.249.177.0,207.249.177.255,business,MX 
207.249.178.0,207.249.186.255,isp,MX 
207.249.187.0,207.249.187.255,education,MX 
207.249.188.0,207.249.191.255,isp,MX 
207.249.192.0,207.249.255.255,education,MX 
