207.101.0.0,207.101.10.255,isp,US,AS2828 
207.101.11.0,207.101.11.255,business,US,AS701 
207.101.12.0,207.101.200.55,isp,US,AS2828 
207.101.200.56,207.101.200.63,business,US,AS2828 
207.101.200.64,207.101.200.127,isp,US,AS2828 
207.101.200.128,207.101.200.135,business,US,AS2828 
207.101.200.136,207.101.202.111,isp,US,AS2828 
207.101.202.112,207.101.202.119,business,US,AS2828 
207.101.202.120,207.101.218.223,isp,US,AS2828 
207.101.218.224,207.101.218.255,business,US,AS2828 
207.101.219.0,207.101.228.255,isp,US,AS2828 
207.101.229.0,207.101.229.255,business,US,AS2828 
207.101.230.0,207.101.242.175,isp,US,AS2828 
207.101.242.176,207.101.242.191,business,US,AS2828 
207.101.242.192,207.101.250.103,isp,US,AS2828 
207.101.250.104,207.101.250.111,business,US,AS2828 
207.101.250.112,207.101.255.255,isp,US,AS2828 
