120.132.0.0,120.132.31.255,business,CN,AS140292 
120.132.32.0,120.132.95.255,business,CN,AS23724 
120.132.96.0,120.132.111.255,business,CN,AS140292 
120.132.112.0,120.132.127.255,hosting,CN,AS58466 
120.132.128.0,120.132.135.255,isp,CN,AS23724 
120.132.136.0,120.132.139.255,business,CN,AS4812 
120.132.140.0,120.132.147.255,isp,CN,AS23724 
120.132.148.0,120.132.151.255,business,CN,AS23724 
120.132.152.0,120.132.159.255,isp,CN,AS23724 
120.132.160.0,120.132.191.255,business,CN,AS23724 
120.132.192.0,120.132.193.255,isp,CN,AS23724 
120.132.194.0,120.132.255.255,business,CN,AS23724 
