61.211.0.0,61.211.95.255,isp,JP 
61.211.96.0,61.211.127.255,business,JP 
61.211.128.0,61.211.143.255,isp,JP 
61.211.144.0,61.211.160.223,business,JP 
61.211.160.224,61.211.160.239,hosting,JP 
61.211.160.240,61.211.161.255,business,JP 
61.211.162.0,61.211.162.3,hosting,JP 
61.211.162.4,61.211.162.7,business,JP 
61.211.162.8,61.211.162.19,hosting,JP 
61.211.162.20,61.211.162.51,business,JP 
61.211.162.52,61.211.162.55,hosting,JP 
61.211.162.56,61.211.162.95,business,JP 
61.211.162.96,61.211.162.99,hosting,JP 
61.211.162.100,61.211.162.119,business,JP 
61.211.162.120,61.211.162.123,hosting,JP 
61.211.162.124,61.211.162.127,business,JP 
61.211.162.128,61.211.162.147,hosting,JP 
61.211.162.148,61.211.162.167,business,JP 
61.211.162.168,61.211.162.195,hosting,JP 
61.211.162.196,61.211.162.207,business,JP 
61.211.162.208,61.211.162.211,hosting,JP 
61.211.162.212,61.211.162.215,business,JP 
61.211.162.216,61.211.162.219,hosting,JP 
61.211.162.220,61.211.162.227,business,JP 
61.211.162.228,61.211.162.231,hosting,JP 
61.211.162.232,61.211.162.235,business,JP 
61.211.162.236,61.211.162.239,hosting,JP 
61.211.162.240,61.211.162.251,business,JP 
61.211.162.252,61.211.162.255,hosting,JP 
61.211.163.0,61.211.163.23,business,JP 
61.211.163.24,61.211.163.55,hosting,JP 
61.211.163.56,61.211.163.63,education,JP 
61.211.163.64,61.211.163.79,business,JP 
61.211.163.80,61.211.163.87,hosting,JP 
61.211.163.88,61.211.163.95,education,JP 
61.211.163.96,61.211.163.111,business,JP 
61.211.163.112,61.211.163.119,hosting,JP 
61.211.163.120,61.211.163.127,business,JP 
61.211.163.128,61.211.163.255,hosting,JP 
61.211.164.0,61.211.164.255,business,JP 
61.211.165.0,61.211.165.3,hosting,JP 
61.211.165.4,61.211.165.31,business,JP 
61.211.165.32,61.211.165.63,hosting,JP 
61.211.165.64,61.211.165.191,business,JP 
61.211.165.192,61.211.165.223,hosting,JP 
61.211.165.224,61.211.165.255,business,JP 
61.211.166.0,61.211.175.255,hosting,JP 
61.211.176.0,61.211.223.255,business,JP 
61.211.224.0,61.211.238.239,hosting,JP 
61.211.238.240,61.211.238.255,business,JP 
61.211.239.0,61.211.239.255,hosting,JP 
61.211.240.0,61.211.240.103,isp,JP 
61.211.240.104,61.211.240.111,business,JP 
61.211.240.112,61.211.240.231,isp,JP 
61.211.240.232,61.211.240.247,business,JP 
61.211.240.248,61.211.241.215,isp,JP 
61.211.241.216,61.211.241.223,business,JP 
61.211.241.224,61.211.244.215,isp,JP 
61.211.244.216,61.211.244.223,business,JP 
61.211.244.224,61.211.255.255,isp,JP 
