61.115.0.0,61.115.32.255,business,JP,AS9595 
61.115.33.0,61.115.33.255,business,JP,AS4713 
61.115.34.0,61.115.127.255,business,JP,AS9595 
61.115.128.0,61.115.159.255,business,JP,AS9617 
61.115.160.0,61.115.171.255,isp,JP,AS9617 
61.115.172.0,61.115.191.255,business,JP,AS9617 
61.115.192.0,61.115.193.255,isp,JP,AS17676 
61.115.194.0,61.115.194.15,business,JP,AS17676 
61.115.194.16,61.115.195.23,isp,JP,AS17676 
61.115.195.24,61.115.195.31,business,JP,AS17676 
61.115.195.32,61.115.195.55,isp,JP,AS17676 
61.115.195.56,61.115.195.63,business,JP,AS17676 
61.115.195.64,61.115.195.111,isp,JP,AS17676 
61.115.195.112,61.115.195.199,business,JP,AS17676 
61.115.195.200,61.115.195.215,isp,JP,AS17676 
61.115.195.216,61.115.195.223,business,JP,AS17676 
61.115.195.224,61.115.197.199,isp,JP,AS17676 
61.115.197.200,61.115.197.207,business,JP,AS17676 
61.115.197.208,61.115.197.223,isp,JP,AS17676 
61.115.197.224,61.115.197.255,business,JP,AS17676 
61.115.198.0,61.115.198.255,isp,JP,AS17676 
61.115.199.0,61.115.200.31,business,JP,AS17676 
61.115.200.32,61.115.200.103,isp,JP,AS17676 
61.115.200.104,61.115.200.111,business,JP,AS17676 
61.115.200.112,61.115.200.191,isp,JP,AS17676 
61.115.200.192,61.115.200.255,business,JP,AS17676 
61.115.201.0,61.115.201.111,isp,JP,AS17676 
61.115.201.112,61.115.201.119,business,JP,AS17676 
61.115.201.120,61.115.201.223,isp,JP,AS17676 
61.115.201.224,61.115.201.239,business,JP,AS17676 
61.115.201.240,61.115.203.63,isp,JP,AS17676 
61.115.203.64,61.115.203.127,business,JP,AS17676 
61.115.203.128,61.115.204.175,isp,JP,AS17676 
61.115.204.176,61.115.204.183,business,JP,AS17676 
61.115.204.184,61.115.204.255,isp,JP,AS17676 
61.115.205.0,61.115.205.127,business,JP,AS17676 
61.115.205.128,61.115.206.127,isp,JP,AS17676 
61.115.206.128,61.115.206.159,business,JP,AS17676 
61.115.206.160,61.115.207.15,isp,JP,AS17676 
61.115.207.16,61.115.207.55,business,JP,AS17676 
61.115.207.56,61.115.207.63,isp,JP,AS17676 
61.115.207.64,61.115.207.95,business,JP,AS17676 
61.115.207.96,61.115.207.255,isp,JP,AS17676 
61.115.208.0,61.115.215.255,business,JP,AS7524 
61.115.216.0,61.115.216.55,isp,JP,AS7524 
61.115.216.56,61.115.216.63,business,JP,AS7524 
61.115.216.64,61.115.216.83,isp,JP,AS7524 
61.115.216.84,61.115.216.87,business,JP,AS7524 
61.115.216.88,61.115.216.119,isp,JP,AS7524 
61.115.216.120,61.115.216.123,business,JP,AS7524 
61.115.216.124,61.115.216.183,isp,JP,AS7524 
61.115.216.184,61.115.216.199,business,JP,AS7524 
61.115.216.200,61.115.216.207,isp,JP,AS7524 
61.115.216.208,61.115.216.215,business,JP,AS7524 
61.115.216.216,61.115.216.223,isp,JP,AS7524 
61.115.216.224,61.115.216.239,business,JP,AS7524 
61.115.216.240,61.115.216.255,isp,JP,AS7524 
61.115.217.0,61.115.223.255,business,JP,AS7524 
61.115.224.0,61.115.224.143,business,JP,AS4694 
61.115.224.144,61.115.224.255,hosting,JP,AS4694 
61.115.225.0,61.115.225.15,business,JP,AS4694 
61.115.225.16,61.115.225.63,hosting,JP,AS4694 
61.115.225.64,61.115.225.95,business,JP,AS4694 
61.115.225.96,61.115.225.127,hosting,JP,AS4694 
61.115.225.128,61.115.225.159,business,JP,AS4694 
61.115.225.160,61.115.225.223,hosting,JP,AS4694 
61.115.225.224,61.115.225.247,business,JP,AS4694 
61.115.225.248,61.115.226.63,hosting,JP,AS4694 
61.115.226.64,61.115.226.79,business,JP,AS4694 
61.115.226.80,61.115.228.255,hosting,JP,AS4694 
61.115.229.0,61.115.229.31,business,JP,AS4694 
61.115.229.32,61.115.229.127,hosting,JP,AS4694 
61.115.229.128,61.115.230.255,business,JP,AS4694 
61.115.231.0,61.115.232.63,hosting,JP,AS4694 
61.115.232.64,61.115.232.79,business,JP,AS4694 
61.115.232.80,61.115.232.127,hosting,JP,AS4694 
61.115.232.128,61.115.232.223,business,JP,AS4694 
61.115.232.224,61.115.232.239,hosting,JP,AS4694 
61.115.232.240,61.115.232.255,business,JP,AS4694 
61.115.233.0,61.115.236.159,hosting,JP,AS4694 
61.115.236.160,61.115.236.191,business,JP,AS4694 
61.115.236.192,61.115.236.255,hosting,JP,AS4694 
61.115.237.0,61.115.237.127,business,JP,AS4694 
61.115.237.128,61.115.239.255,hosting,JP,AS4694 
61.115.240.0,61.115.255.255,isp,JP,AS10019 
