61.128.0.0,61.128.98.191,isp,CN,AS4134 
61.128.98.192,61.128.98.201,business,CN,AS4134 
61.128.98.202,61.128.98.207,education,CN,AS4134 
61.128.98.208,61.128.98.223,business,CN,AS4134 
61.128.98.224,61.128.102.255,isp,CN,AS4134 
61.128.103.0,61.128.103.63,business,CN,AS4134 
61.128.103.64,61.128.103.95,isp,CN,AS4134 
61.128.103.96,61.128.103.183,business,CN,AS4134 
61.128.103.184,61.128.103.187,education,CN,AS4134 
61.128.103.188,61.128.103.231,business,CN,AS4134 
61.128.103.232,61.128.103.239,isp,CN,AS4134 
61.128.103.240,61.128.103.255,business,CN,AS4134 
61.128.104.0,61.128.104.0,isp,CN,AS4134 
61.128.104.1,61.128.104.95,business,CN,AS4134 
61.128.104.96,61.128.104.103,education,CN,AS4134 
61.128.104.104,61.128.104.191,business,CN,AS4134 
61.128.104.192,61.128.104.199,education,CN,AS4134 
61.128.104.200,61.128.104.215,business,CN,AS4134 
61.128.104.216,61.128.104.223,isp,CN,AS4134 
61.128.104.224,61.128.104.227,business,CN,AS4134 
61.128.104.228,61.128.105.28,isp,CN,AS4134 
61.128.105.29,61.128.105.29,business,CN,AS4134 
61.128.105.30,61.128.105.255,isp,CN,AS4134 
61.128.106.0,61.128.106.15,education,CN,AS4134 
61.128.106.16,61.128.106.23,isp,CN,AS4134 
61.128.106.24,61.128.106.95,business,CN,AS4134 
61.128.106.96,61.128.106.111,education,CN,AS4134 
61.128.106.112,61.128.106.127,isp,CN,AS4134 
61.128.106.128,61.128.106.207,business,CN,AS4134 
61.128.106.208,61.128.106.223,isp,CN,AS4134 
61.128.106.224,61.128.106.239,business,CN,AS4134 
61.128.106.240,61.128.106.247,education,CN,AS4134 
61.128.106.248,61.128.106.255,business,CN,AS4134 
61.128.107.0,61.128.107.113,isp,CN,AS4134 
61.128.107.114,61.128.107.131,business,CN,AS4134 
61.128.107.132,61.128.107.135,education,CN,AS4134 
61.128.107.136,61.128.107.143,isp,CN,AS4134 
61.128.107.144,61.128.107.191,business,CN,AS4134 
61.128.107.192,61.128.107.199,education,CN,AS4134 
61.128.107.200,61.128.107.223,business,CN,AS4134 
61.128.107.224,61.128.107.231,education,CN,AS4134 
61.128.107.232,61.128.107.255,business,CN,AS4134 
61.128.108.0,61.128.108.39,isp,CN,AS4134 
61.128.108.40,61.128.108.47,business,CN,AS4134 
61.128.108.48,61.128.108.51,isp,CN,AS4134 
61.128.108.52,61.128.108.79,business,CN,AS4134 
61.128.108.80,61.128.108.83,education,CN,AS4134 
61.128.108.84,61.128.108.95,business,CN,AS4134 
61.128.108.96,61.128.108.99,education,CN,AS4134 
61.128.108.100,61.128.108.127,business,CN,AS4134 
61.128.108.128,61.128.108.143,education,CN,AS4134 
61.128.108.144,61.128.108.151,business,CN,AS4134 
61.128.108.152,61.128.108.159,education,CN,AS4134 
61.128.108.160,61.128.108.163,business,CN,AS4134 
61.128.108.164,61.128.108.167,education,CN,AS4134 
61.128.108.168,61.128.108.175,isp,CN,AS4134 
61.128.108.176,61.128.108.207,business,CN,AS4134 
61.128.108.208,61.128.108.211,education,CN,AS4134 
61.128.108.212,61.128.108.239,business,CN,AS4134 
61.128.108.240,61.128.108.247,isp,CN,AS4134 
61.128.108.248,61.128.109.31,education,CN,AS4134 
61.128.109.32,61.128.109.39,business,CN,AS4134 
61.128.109.40,61.128.109.47,education,CN,AS4134 
61.128.109.48,61.128.109.71,business,CN,AS4134 
61.128.109.72,61.128.109.79,isp,CN,AS4134 
61.128.109.80,61.128.109.87,business,CN,AS4134 
61.128.109.88,61.128.109.91,isp,CN,AS4134 
61.128.109.92,61.128.109.95,business,CN,AS4134 
61.128.109.96,61.128.109.103,isp,CN,AS4134 
61.128.109.104,61.128.109.135,education,CN,AS4134 
61.128.109.136,61.128.109.139,business,CN,AS4134 
61.128.109.140,61.128.109.143,education,CN,AS4134 
61.128.109.144,61.128.109.159,isp,CN,AS4134 
61.128.109.160,61.128.109.191,business,CN,AS4134 
61.128.109.192,61.128.109.203,isp,CN,AS4134 
