61.196.0.0,61.196.96.39,isp,JP,AS4725 
61.196.96.40,61.196.96.47,business,JP,AS4725 
61.196.96.48,61.196.104.15,isp,JP,AS4725 
61.196.104.16,61.196.104.47,business,JP,AS4725 
61.196.104.48,61.196.104.95,isp,JP,AS4725 
61.196.104.96,61.196.104.103,business,JP,AS4725 
61.196.104.104,61.196.104.143,isp,JP,AS4725 
61.196.104.144,61.196.104.151,business,JP,AS4725 
61.196.104.152,61.196.104.199,isp,JP,AS4725 
61.196.104.200,61.196.104.223,business,JP,AS4725 
61.196.104.224,61.196.104.239,isp,JP,AS4725 
61.196.104.240,61.196.104.255,business,JP,AS4725 
61.196.105.0,61.196.105.7,isp,JP,AS4725 
61.196.105.8,61.196.105.15,business,JP,AS4725 
61.196.105.16,61.196.105.71,isp,JP,AS4725 
61.196.105.72,61.196.105.79,business,JP,AS4725 
61.196.105.80,61.196.105.135,isp,JP,AS4725 
61.196.105.136,61.196.105.143,business,JP,AS4725 
61.196.105.144,61.196.105.175,isp,JP,AS4725 
61.196.105.176,61.196.105.191,business,JP,AS4725 
61.196.105.192,61.196.105.231,isp,JP,AS4725 
61.196.105.232,61.196.105.255,business,JP,AS4725 
61.196.106.0,61.196.106.191,isp,JP,AS4725 
61.196.106.192,61.196.106.255,business,JP,AS4725 
61.196.107.0,61.196.107.239,isp,JP,AS4725 
61.196.107.240,61.196.107.255,business,JP,AS4725 
61.196.108.0,61.196.108.79,isp,JP,AS4725 
61.196.108.80,61.196.108.111,business,JP,AS4725 
61.196.108.112,61.196.108.143,isp,JP,AS4725 
61.196.108.144,61.196.108.207,business,JP,AS4725 
61.196.108.208,61.196.108.223,isp,JP,AS4725 
61.196.108.224,61.196.109.7,business,JP,AS4725 
61.196.109.8,61.196.109.15,isp,JP,AS4725 
61.196.109.16,61.196.109.31,business,JP,AS4725 
61.196.109.32,61.196.109.95,isp,JP,AS4725 
61.196.109.96,61.196.109.103,business,JP,AS4725 
61.196.109.104,61.196.109.159,isp,JP,AS4725 
61.196.109.160,61.196.109.191,business,JP,AS4725 
61.196.109.192,61.196.110.31,isp,JP,AS4725 
61.196.110.32,61.196.110.47,business,JP,AS4725 
61.196.110.48,61.196.110.55,isp,JP,AS4725 
61.196.110.56,61.196.110.63,business,JP,AS4725 
61.196.110.64,61.196.110.103,isp,JP,AS4725 
61.196.110.104,61.196.110.111,business,JP,AS4725 
61.196.110.112,61.196.110.127,isp,JP,AS4725 
61.196.110.128,61.196.110.143,business,JP,AS4725 
61.196.110.144,61.196.110.255,isp,JP,AS4725 
61.196.111.0,61.196.111.31,business,JP,AS4725 
61.196.111.32,61.196.111.55,isp,JP,AS4725 
61.196.111.56,61.196.111.159,business,JP,AS4725 
61.196.111.160,61.196.139.255,isp,JP,AS4725 
61.196.140.0,61.196.142.15,business,JP,AS4725 
61.196.142.16,61.196.142.47,isp,JP,AS4725 
61.196.142.48,61.196.142.63,business,JP,AS4725 
61.196.142.64,61.196.142.135,isp,JP,AS4725 
61.196.142.136,61.196.142.143,business,JP,AS4725 
61.196.142.144,61.196.142.183,isp,JP,AS4725 
61.196.142.184,61.196.142.191,business,JP,AS4725 
61.196.142.192,61.196.142.199,isp,JP,AS4725 
61.196.142.200,61.196.142.207,business,JP,AS4725 
61.196.142.208,61.196.146.31,isp,JP,AS4725 
61.196.146.32,61.196.146.39,business,JP,AS4725 
61.196.146.40,61.196.147.143,isp,JP,AS4725 
61.196.147.144,61.196.147.175,business,JP,AS4725 
61.196.147.176,61.196.147.255,isp,JP,AS4725 
61.196.148.0,61.196.148.7,business,JP,AS4725 
61.196.148.8,61.196.149.7,isp,JP,AS4725 
61.196.149.8,61.196.149.15,business,JP,AS4725 
61.196.149.16,61.196.149.79,isp,JP,AS4725 
61.196.149.80,61.196.149.103,business,JP,AS4725 
61.196.149.104,61.196.149.111,isp,JP,AS4725 
61.196.149.112,61.196.149.119,business,JP,AS4725 
61.196.149.120,61.196.149.167,isp,JP,AS4725 
61.196.149.168,61.196.149.191,business,JP,AS4725 
61.196.149.192,61.196.149.207,isp,JP,AS4725 
61.196.149.208,61.196.149.215,business,JP,AS4725 
61.196.149.216,61.196.149.247,isp,JP,AS4725 
61.196.149.248,61.196.149.255,business,JP,AS4725 
61.196.150.0,61.196.152.127,isp,JP,AS4725 
61.196.152.128,61.196.152.135,business,JP,AS4725 
61.196.152.136,61.196.153.39,isp,JP,AS4725 
61.196.153.40,61.196.153.55,business,JP,AS4725 
61.196.153.56,61.196.153.255,isp,JP,AS4725 
61.196.154.0,61.196.154.7,business,JP,AS4725 
61.196.154.8,61.196.154.63,isp,JP,AS4725 
61.196.154.64,61.196.154.79,business,JP,AS4725 
61.196.154.80,61.196.157.127,isp,JP,AS4725 
61.196.157.128,61.196.158.31,business,JP,AS4725 
61.196.158.32,61.196.158.167,isp,JP,AS4725 
61.196.158.168,61.196.158.255,business,JP,AS4725 
61.196.159.0,61.196.160.15,isp,JP,AS4725 
61.196.160.16,61.196.160.31,business,JP,AS4725 
61.196.160.32,61.196.161.55,isp,JP,AS4725 
