61.125.0.0,61.125.0.255,business,JP,AS9595 
61.125.1.0,61.125.1.255,hosting,JP,AS9595 
61.125.2.0,61.125.63.255,business,JP,AS9595 
61.125.64.0,61.125.127.255,business,JP,AS9617 
61.125.128.0,61.125.128.63,isp,JP,AS17676 
61.125.128.64,61.125.128.255,business,JP,AS17676 
61.125.129.0,61.125.129.127,isp,JP,AS17676 
61.125.129.128,61.125.129.191,business,JP,AS17676 
61.125.129.192,61.125.129.255,isp,JP,AS17676 
61.125.130.0,61.125.130.63,business,JP,AS17676 
61.125.130.64,61.125.130.127,isp,JP,AS17676 
61.125.130.128,61.125.130.191,business,JP,AS17676 
61.125.130.192,61.125.130.255,isp,JP,AS17676 
61.125.131.0,61.125.131.255,business,JP,AS17676 
61.125.132.0,61.125.132.191,isp,JP,AS17676 
61.125.132.192,61.125.132.255,business,JP,AS17676 
61.125.133.0,61.125.133.63,isp,JP,AS17676 
61.125.133.64,61.125.133.127,business,JP,AS17676 
61.125.133.128,61.125.133.255,isp,JP,AS17676 
61.125.134.0,61.125.134.127,business,JP,AS17676 
61.125.134.128,61.125.134.135,isp,JP,AS17676 
61.125.134.136,61.125.134.191,business,JP,AS17676 
61.125.134.192,61.125.137.31,isp,JP,AS17676 
61.125.137.32,61.125.137.63,business,JP,AS17676 
61.125.137.64,61.125.137.255,isp,JP,AS17676 
61.125.138.0,61.125.138.15,business,JP,AS17676 
61.125.138.16,61.125.138.255,isp,JP,AS17676 
61.125.139.0,61.125.139.255,business,JP,AS17676 
61.125.140.0,61.125.140.255,isp,JP,AS17676 
61.125.141.0,61.125.142.31,business,JP,AS17676 
61.125.142.32,61.125.142.47,isp,JP,AS17676 
61.125.142.48,61.125.142.127,business,JP,AS17676 
61.125.142.128,61.125.142.255,isp,JP,AS17676 
61.125.143.0,61.125.143.31,business,JP,AS17676 
61.125.143.32,61.125.143.79,isp,JP,AS17676 
61.125.143.80,61.125.143.95,business,JP,AS17676 
61.125.143.96,61.125.143.127,isp,JP,AS17676 
61.125.143.128,61.125.143.143,business,JP,AS17676 
61.125.143.144,61.125.143.159,isp,JP,AS17676 
61.125.143.160,61.125.143.191,business,JP,AS17676 
61.125.143.192,61.125.143.255,isp,JP,AS17676 
61.125.144.0,61.125.159.255,business,JP,AS9351 
61.125.160.0,61.125.173.31,isp,JP,AS7670 
61.125.173.32,61.125.173.39,business,JP,AS7670 
61.125.173.40,61.125.173.63,isp,JP,AS7670 
61.125.173.64,61.125.173.255,business,JP,AS7670 
61.125.174.0,61.125.174.63,isp,JP,AS7670 
61.125.174.64,61.125.174.127,business,JP,AS7670 
61.125.174.128,61.125.175.255,isp,JP,AS7670 
61.125.176.0,61.125.191.255,isp,JP,AS4713 
61.125.192.0,61.125.255.255,isp,JP,AS4685 
