61.195.8.0,61.195.15.255,business,JP 
61.195.16.0,61.195.27.255,isp,JP 
61.195.28.0,61.195.31.255,business,JP 
61.195.32.0,61.195.35.255,isp,JP 
61.195.36.0,61.195.36.15,business,JP 
61.195.36.16,61.195.47.255,isp,JP 
61.195.48.0,61.195.78.255,business,JP 
61.195.79.0,61.195.95.255,isp,JP 
61.195.96.0,61.195.102.255,business,JP 
61.195.103.0,61.195.103.127,education,JP 
61.195.103.128,61.195.127.255,business,JP 
61.195.128.0,61.195.143.255,isp,JP 
61.195.144.0,61.195.146.135,hosting,JP 
61.195.146.136,61.195.146.143,business,JP 
61.195.146.144,61.195.146.175,hosting,JP 
61.195.146.176,61.195.146.183,business,JP 
61.195.146.184,61.195.146.247,hosting,JP 
61.195.146.248,61.195.146.255,business,JP 
61.195.147.0,61.195.147.103,hosting,JP 
61.195.147.104,61.195.147.111,business,JP 
61.195.147.112,61.195.147.135,hosting,JP 
61.195.147.136,61.195.147.143,business,JP 
61.195.147.144,61.195.147.151,hosting,JP 
61.195.147.152,61.195.147.159,business,JP 
61.195.147.160,61.195.147.199,hosting,JP 
61.195.147.200,61.195.147.215,business,JP 
61.195.147.216,61.195.147.231,hosting,JP 
61.195.147.232,61.195.147.239,business,JP 
61.195.147.240,61.195.148.127,hosting,JP 
61.195.148.128,61.195.148.143,business,JP 
61.195.148.144,61.195.149.7,hosting,JP 
61.195.149.8,61.195.149.23,business,JP 
61.195.149.24,61.195.149.31,hosting,JP 
61.195.149.32,61.195.149.39,business,JP 
61.195.149.40,61.195.149.63,hosting,JP 
61.195.149.64,61.195.149.71,business,JP 
61.195.149.72,61.195.149.87,hosting,JP 
61.195.149.88,61.195.149.95,business,JP 
61.195.149.96,61.195.149.167,hosting,JP 
61.195.149.168,61.195.149.175,business,JP 
61.195.149.176,61.195.149.183,hosting,JP 
61.195.149.184,61.195.149.191,business,JP 
61.195.149.192,61.195.149.239,hosting,JP 
61.195.149.240,61.195.149.247,business,JP 
61.195.149.248,61.195.149.255,hosting,JP 
61.195.150.0,61.195.150.15,business,JP 
61.195.150.16,61.195.150.103,hosting,JP 
61.195.150.104,61.195.150.111,business,JP 
61.195.150.112,61.195.150.135,hosting,JP 
61.195.150.136,61.195.150.143,business,JP 
61.195.150.144,61.195.150.207,hosting,JP 
61.195.150.208,61.195.150.215,business,JP 
61.195.150.216,61.195.150.239,hosting,JP 
61.195.150.240,61.195.150.247,business,JP 
61.195.150.248,61.195.151.39,hosting,JP 
61.195.151.40,61.195.151.47,business,JP 
61.195.151.48,61.195.151.167,hosting,JP 
61.195.151.168,61.195.151.175,business,JP 
61.195.151.176,61.195.151.223,hosting,JP 
61.195.151.224,61.195.151.239,business,JP 
61.195.151.240,61.195.154.127,hosting,JP 
61.195.154.128,61.195.154.143,business,JP 
61.195.154.144,61.195.154.151,hosting,JP 
61.195.154.152,61.195.154.159,business,JP 
61.195.154.160,61.195.155.31,hosting,JP 
61.195.155.32,61.195.155.39,business,JP 
61.195.155.40,61.195.155.71,hosting,JP 
61.195.155.72,61.195.155.79,business,JP 
61.195.155.80,61.195.155.95,hosting,JP 
61.195.155.96,61.195.155.103,business,JP 
61.195.155.104,61.195.155.111,hosting,JP 
61.195.155.112,61.195.155.119,business,JP 
61.195.155.120,61.195.155.159,hosting,JP 
61.195.155.160,61.195.155.167,business,JP 
61.195.155.168,61.195.155.215,hosting,JP 
61.195.155.216,61.195.155.223,business,JP 
61.195.155.224,61.195.156.47,hosting,JP 
61.195.156.48,61.195.156.55,business,JP 
61.195.156.56,61.195.156.127,hosting,JP 
61.195.156.128,61.195.156.135,business,JP 
61.195.156.136,61.195.156.239,hosting,JP 
61.195.156.240,61.195.156.255,business,JP 
61.195.157.0,61.195.157.71,hosting,JP 
61.195.157.72,61.195.157.79,business,JP 
61.195.157.80,61.195.157.167,hosting,JP 
61.195.157.168,61.195.157.175,business,JP 
61.195.157.176,61.195.158.39,hosting,JP 
61.195.158.40,61.195.158.47,business,JP 
61.195.158.48,61.195.158.79,hosting,JP 
61.195.158.80,61.195.158.95,business,JP 
61.195.158.96,61.195.158.223,hosting,JP 
61.195.158.224,61.195.158.231,business,JP 
61.195.158.232,61.195.158.255,hosting,JP 
61.195.159.0,61.195.159.15,business,JP 
61.195.159.16,61.195.159.71,hosting,JP 
61.195.159.72,61.195.159.79,business,JP 
61.195.159.80,61.195.159.143,hosting,JP 
61.195.159.144,61.195.159.151,business,JP 
61.195.159.152,61.195.159.199,hosting,JP 
61.195.159.200,61.195.159.207,business,JP 
61.195.159.208,61.195.159.215,hosting,JP 
61.195.159.216,61.195.159.223,business,JP 
61.195.159.224,61.195.159.231,hosting,JP 
61.195.159.232,61.195.159.239,business,JP 
61.195.159.240,61.195.159.255,hosting,JP 
61.195.160.0,61.195.161.255,business,JP 
61.195.162.0,61.195.162.223,hosting,JP 
61.195.162.224,61.195.162.255,business,JP 
61.195.163.0,61.195.163.255,hosting,JP 
61.195.164.0,61.195.164.63,business,JP 
61.195.164.64,61.195.164.111,hosting,JP 
61.195.164.112,61.195.164.191,business,JP 
61.195.164.192,61.195.165.255,hosting,JP 
61.195.166.0,61.195.167.159,business,JP 
61.195.167.160,61.195.167.167,hosting,JP 
61.195.167.168,61.195.167.175,business,JP 
61.195.167.176,61.195.167.255,hosting,JP 
61.195.168.0,61.195.168.255,business,JP 
61.195.169.0,61.195.170.255,hosting,JP 
61.195.171.0,61.195.171.47,business,JP 
61.195.171.48,61.195.171.255,hosting,JP 
61.195.172.0,61.195.172.15,business,JP 
61.195.172.16,61.195.172.79,hosting,JP 
61.195.172.80,61.195.172.87,business,JP 
61.195.172.88,61.195.172.223,hosting,JP 
61.195.172.224,61.195.172.239,business,JP 
61.195.172.240,61.195.173.127,hosting,JP 
61.195.173.128,61.195.173.159,business,JP 
61.195.173.160,61.195.173.191,hosting,JP 
61.195.173.192,61.195.173.207,business,JP 
61.195.173.208,61.195.173.239,hosting,JP 
61.195.173.240,61.195.174.31,business,JP 
61.195.174.32,61.195.174.63,hosting,JP 
61.195.174.64,61.195.174.159,business,JP 
61.195.174.160,61.195.174.191,hosting,JP 
61.195.174.192,61.195.174.223,business,JP 
61.195.174.224,61.195.174.255,hosting,JP 
61.195.175.0,61.195.175.127,business,JP 
61.195.175.128,61.195.175.223,hosting,JP 
61.195.175.224,61.195.175.239,business,JP 
61.195.175.240,61.195.175.255,hosting,JP 
61.195.176.0,61.195.179.255,isp,JP 
61.195.180.0,61.195.180.255,business,JP 
61.195.181.0,61.195.184.63,isp,JP 
61.195.184.64,61.195.184.127,business,JP 
61.195.184.128,61.195.184.199,isp,JP 
61.195.184.200,61.195.184.207,business,JP 
61.195.184.208,61.195.184.247,isp,JP 
61.195.184.248,61.195.185.255,business,JP 
61.195.186.0,61.195.186.191,isp,JP 
61.195.186.192,61.195.187.127,business,JP 
61.195.187.128,61.195.187.143,isp,JP 
61.195.187.144,61.195.187.159,business,JP 
61.195.187.160,61.195.187.255,isp,JP 
61.195.188.0,61.195.188.63,business,JP 
61.195.188.64,61.195.188.95,isp,JP 
61.195.188.96,61.195.188.127,business,JP 
61.195.188.128,61.195.188.207,isp,JP 
61.195.188.208,61.195.188.223,business,JP 
61.195.188.224,61.195.189.255,isp,JP 
61.195.190.0,61.195.191.31,business,JP 
61.195.191.32,61.196.96.39,isp,JP 
