61.172.0.56,61.172.0.60,business,CN,AS4812 
61.172.0.61,61.172.47.63,isp,CN,AS4812 
61.172.47.64,61.172.47.67,business,CN,AS4812 
61.172.47.68,61.172.57.228,isp,CN,AS4812 
61.172.57.229,61.172.57.229,business,CN,AS4812 
61.172.57.230,61.172.174.23,isp,CN,AS4812 
61.172.174.24,61.172.174.31,business,CN,AS4812 
61.172.174.32,61.172.192.255,isp,CN,AS4812 
61.172.193.0,61.172.193.63,business,CN,AS4812 
61.172.193.64,61.172.193.95,isp,CN,AS4812 
61.172.193.96,61.172.193.111,business,CN,AS4812 
61.172.193.112,61.172.193.127,isp,CN,AS4812 
61.172.193.128,61.172.193.191,business,CN,AS4812 
61.172.193.192,61.172.193.231,isp,CN,AS4812 
61.172.193.232,61.172.193.255,business,CN,AS4812 
61.172.194.0,61.172.194.82,isp,CN,AS4812 
61.172.194.83,61.172.194.91,business,CN,AS4812 
61.172.194.92,61.172.195.129,isp,CN,AS4812 
61.172.195.130,61.172.195.158,business,CN,AS4812 
61.172.195.159,61.172.195.161,isp,CN,AS4812 
61.172.195.162,61.172.195.173,business,CN,AS4812 
61.172.195.174,61.172.195.179,isp,CN,AS4812 
61.172.195.180,61.172.195.189,business,CN,AS4812 
61.172.195.190,61.172.195.191,isp,CN,AS4812 
61.172.195.192,61.172.195.255,business,CN,AS4812 
61.172.196.0,61.172.196.17,isp,CN,AS4812 
61.172.196.18,61.172.196.25,business,CN,AS4812 
61.172.196.26,61.172.196.255,isp,CN,AS4812 
61.172.197.0,61.172.197.63,business,CN,AS4812 
61.172.197.64,61.172.197.159,isp,CN,AS4812 
61.172.197.160,61.172.197.207,business,CN,AS4812 
61.172.197.208,61.172.197.223,isp,CN,AS4812 
61.172.197.224,61.172.197.255,business,CN,AS4812 
61.172.198.0,61.172.198.2,isp,CN,AS4812 
61.172.198.3,61.172.198.4,business,CN,AS4812 
61.172.198.5,61.172.198.5,isp,CN,AS4812 
61.172.198.6,61.172.198.13,business,CN,AS4812 
61.172.198.14,61.172.198.15,isp,CN,AS4812 
61.172.198.16,61.172.198.28,business,CN,AS4812 
61.172.198.29,61.172.198.36,isp,CN,AS4812 
61.172.198.37,61.172.198.44,business,CN,AS4812 
61.172.198.45,61.172.198.45,isp,CN,AS4812 
61.172.198.46,61.172.198.52,business,CN,AS4812 
61.172.198.53,61.172.198.54,isp,CN,AS4812 
61.172.198.55,61.172.198.57,business,CN,AS4812 
61.172.198.58,61.172.198.59,isp,CN,AS4812 
61.172.198.60,61.172.198.62,business,CN,AS4812 
61.172.198.63,61.172.198.63,isp,CN,AS4812 
61.172.198.64,61.172.198.79,business,CN,AS4812 
61.172.198.80,61.172.198.127,isp,CN,AS4812 
61.172.198.128,61.172.198.159,business,CN,AS4812 
61.172.198.160,61.172.198.170,isp,CN,AS4812 
61.172.198.171,61.172.198.190,business,CN,AS4812 
61.172.198.191,61.172.201.255,isp,CN,AS4812 
61.172.202.0,61.172.203.255,business,CN,AS4812 
61.172.204.0,61.172.204.255,isp,CN,AS4812 
61.172.205.0,61.172.205.255,business,CN,AS4812 
61.172.206.0,61.172.240.63,isp,CN,AS4812 
61.172.240.64,61.172.240.79,business,CN,AS4812 
61.172.240.80,61.172.240.97,isp,CN,AS4812 
61.172.240.98,61.172.240.113,business,CN,AS4812 
61.172.240.114,61.172.240.131,isp,CN,AS4812 
61.172.240.132,61.172.240.132,business,CN,AS4812 
61.172.240.133,61.172.240.167,isp,CN,AS4812 
61.172.240.168,61.172.240.182,business,CN,AS4812 
61.172.240.183,61.172.240.223,isp,CN,AS4812 
61.172.240.224,61.172.240.255,business,CN,AS4812 
61.172.241.0,61.172.241.130,isp,CN,AS4812 
61.172.241.131,61.172.241.162,business,CN,AS4812 
61.172.241.163,61.172.241.193,isp,CN,AS4812 
61.172.241.194,61.172.241.213,business,CN,AS4812 
61.172.241.214,61.172.241.217,isp,CN,AS4812 
61.172.241.218,61.172.241.218,business,CN,AS4812 
61.172.241.219,61.172.242.131,isp,CN,AS4812 
61.172.242.132,61.172.242.132,business,CN,AS4812 
61.172.242.133,61.172.242.143,isp,CN,AS4812 
61.172.242.144,61.172.242.159,business,CN,AS4812 
61.172.242.160,61.172.242.193,isp,CN,AS4812 
61.172.242.194,61.172.242.194,business,CN,AS4812 
61.172.242.195,61.172.242.207,isp,CN,AS4812 
61.172.242.208,61.172.242.223,business,CN,AS4812 
61.172.242.224,61.172.243.161,isp,CN,AS4812 
61.172.243.162,61.172.243.163,business,CN,AS4812 
61.172.243.164,61.172.243.167,isp,CN,AS4812 
61.172.243.168,61.172.243.177,business,CN,AS4812 
61.172.243.178,61.172.243.200,isp,CN,AS4812 
61.172.243.201,61.172.243.208,business,CN,AS4812 
61.172.243.209,61.172.243.209,isp,CN,AS4812 
61.172.243.210,61.172.243.223,business,CN,AS4812 
61.172.243.224,61.172.243.255,isp,CN,AS4812 
61.172.244.0,61.172.244.63,business,CN,AS4812 
61.172.244.64,61.172.244.64,isp,CN,AS4812 
61.172.244.65,61.172.244.67,business,CN,AS4812 
61.172.244.68,61.172.244.72,isp,CN,AS4812 
61.172.244.73,61.172.244.79,business,CN,AS4812 
61.172.244.80,61.172.244.94,isp,CN,AS4812 
61.172.244.95,61.172.244.99,business,CN,AS4812 
61.172.244.100,61.172.244.100,isp,CN,AS4812 
61.172.244.101,61.172.244.120,business,CN,AS4812 
61.172.244.121,61.172.244.128,isp,CN,AS4812 
