205.246.18.0,205.246.18.255,hosting,US 
205.246.19.0,205.246.19.255,business,US 
205.246.20.0,205.246.21.255,isp,US 
205.246.22.0,205.246.22.255,business,US 
205.246.23.0,205.246.23.255,isp,US 
205.246.24.0,205.246.28.255,business,US 
205.246.29.0,205.246.29.255,isp,US 
205.246.30.0,205.246.31.255,business,US 
205.246.32.0,205.246.39.255,isp,US 
205.246.40.0,205.246.40.127,business,US 
205.246.40.128,205.246.40.255,education,US 
205.246.41.0,205.246.41.63,business,US 
205.246.41.64,205.246.41.127,education,US 
205.246.41.128,205.246.42.63,business,US 
205.246.42.64,205.246.42.127,education,US 
205.246.42.128,205.246.42.191,business,US 
205.246.42.192,205.246.43.63,education,US 
205.246.43.64,205.246.46.47,business,US 
205.246.46.48,205.246.46.63,education,US 
205.246.46.64,205.246.47.207,business,US 
205.246.47.208,205.246.47.255,education,US 
205.246.48.0,205.246.136.191,isp,US 
205.246.136.192,205.246.136.199,business,US 
205.246.136.200,205.246.136.239,isp,US 
205.246.136.240,205.246.136.255,business,US 
205.246.137.0,205.246.137.207,isp,US 
205.246.137.208,205.246.137.223,business,US 
205.246.137.224,205.246.144.103,isp,US 
205.246.144.104,205.246.144.111,isp,CA 
205.246.144.112,205.246.164.255,isp,US 
205.246.165.0,205.246.165.255,business,US 
205.246.166.0,205.246.166.39,isp,US 
205.246.166.40,205.246.166.47,business,US 
205.246.166.48,205.246.166.63,isp,US 
205.246.166.64,205.246.166.71,business,US 
205.246.166.72,205.246.166.95,isp,US 
205.246.166.96,205.246.166.103,business,US 
205.246.166.104,205.246.166.111,isp,US 
205.246.166.112,205.246.166.127,business,US 
205.246.166.128,205.246.166.151,isp,US 
205.246.166.152,205.246.166.159,business,US 
205.246.166.160,205.246.166.167,isp,US 
205.246.166.168,205.246.166.175,business,US 
205.246.166.176,205.246.167.127,isp,US 
205.246.167.128,205.246.167.135,business,US 
205.246.167.136,205.246.173.63,isp,US 
205.246.173.64,205.246.173.127,business,US 
205.246.173.128,205.246.177.255,isp,US 
205.246.178.0,205.246.179.255,business,US 
205.246.180.0,205.246.192.63,isp,US 
205.246.192.64,205.246.192.127,business,US 
205.246.192.128,205.246.201.47,isp,US 
205.246.201.48,205.246.201.55,business,US 
205.246.201.56,205.246.255.255,isp,US 
