205.198.0.0,205.198.31.255,hosting,HK 
205.198.32.0,205.198.39.255,isp,US 
205.198.40.0,205.198.47.255,isp,CN 
205.198.48.0,205.198.63.255,isp,MO 
205.198.64.0,205.198.95.255,business,HK 
205.198.96.0,205.198.103.255,business,GU 
205.198.104.0,205.198.107.255,isp,US 
205.198.108.0,205.198.111.255,business,CN 
205.198.112.0,205.198.255.255,isp,US 
