205.175.0.0,205.175.31.255,business,US, 
205.175.32.0,205.175.63.255,education,US, 
205.175.64.0,205.175.95.255,business,US, 
205.175.96.0,205.175.127.255,education,US,AS73 
205.175.128.0,205.175.159.255,business,US,AS26748 
205.175.160.0,205.175.191.255,business,US, 
205.175.192.0,205.175.196.255,business,US,AS10753 
205.175.197.0,205.175.207.255,business,US,AS59248 
205.175.208.0,205.175.208.255,business,US,AS393513 
205.175.209.0,205.175.209.255,business,US,AS40677 
205.175.210.0,205.175.210.39,hosting,US,AS5555 
205.175.210.40,205.175.210.43,business,US,AS5555 
205.175.210.44,205.175.210.87,hosting,US,AS5555 
205.175.210.88,205.175.210.95,business,US,AS5555 
205.175.210.96,205.175.210.127,hosting,US,AS5555 
205.175.210.128,205.175.210.139,business,US,AS5555 
205.175.210.140,205.175.210.155,hosting,US,AS5555 
205.175.210.156,205.175.210.163,business,US,AS5555 
205.175.210.164,205.175.210.175,hosting,US,AS5555 
205.175.210.176,205.175.210.203,business,US,AS5555 
205.175.210.204,205.175.210.251,hosting,US,AS5555 
205.175.210.252,205.175.211.35,business,US,AS5555 
205.175.211.36,205.175.211.47,hosting,US,AS5555 
205.175.211.48,205.175.211.71,business,US,AS5555 
205.175.211.72,205.175.211.79,hosting,US,AS5555 
205.175.211.80,205.175.211.95,business,US,AS5555 
205.175.211.96,205.175.211.111,hosting,US,AS5555 
205.175.211.112,205.175.211.127,business,US,AS5555 
205.175.211.128,205.175.211.135,hosting,US,AS5555 
205.175.211.136,205.175.211.143,business,US,AS5555 
205.175.211.144,205.175.211.159,hosting,US,AS5555 
205.175.211.160,205.175.211.163,business,US,AS5555 
205.175.211.164,205.175.211.187,hosting,US,AS5555 
205.175.211.188,205.175.211.255,business,US,AS5555 
205.175.212.0,205.175.215.255,isp,CA,AS21949 
205.175.216.0,205.175.223.255,isp,US,AS22925 
205.175.224.0,205.175.224.255,business,US, 
205.175.225.0,205.175.229.255,business,US,AS1341 
205.175.230.0,205.175.237.255,business,US, 
205.175.238.0,205.175.246.255,business,US,AS2386 
205.175.247.0,205.175.249.255,business,US, 
205.175.250.0,205.175.250.255,business,US,AS2386 
205.175.251.0,205.175.255.255,business,US, 
