205.134.0.0,205.134.31.255,business,US,AS12142 
205.134.32.0,205.134.63.255,business,US,AS62568 
205.134.64.0,205.134.127.255,business,US, 
205.134.128.0,205.134.159.255,business,US,AS19043 
205.134.160.0,205.134.171.127,hosting,US,AS6405 
205.134.171.128,205.134.171.191,business,US,AS6405 
205.134.171.192,205.134.172.127,hosting,US,AS6405 
205.134.172.128,205.134.172.191,business,US,AS6405 
205.134.172.192,205.134.176.63,hosting,US,AS6405 
205.134.176.64,205.134.176.191,business,US,AS6405 
205.134.176.192,205.134.179.255,hosting,US,AS6405 
205.134.180.0,205.134.180.255,business,US,AS6405 
205.134.181.0,205.134.188.239,hosting,US,AS6405 
205.134.188.240,205.134.188.255,hosting,AG,AS6405 
205.134.189.0,205.134.191.255,hosting,US,AS6405 
205.134.192.0,205.134.193.255,isp,US,AS20394 
205.134.194.0,205.134.194.255,education,US,AS20394 
205.134.195.0,205.134.195.255,business,US,AS20394 
205.134.196.0,205.134.205.31,isp,US,AS20394 
205.134.205.32,205.134.205.63,business,US,AS20394 
205.134.205.64,205.134.205.127,isp,US,AS20394 
205.134.205.128,205.134.205.159,business,US,AS20394 
205.134.205.160,205.134.206.255,isp,US,AS20394 
205.134.207.0,205.134.208.255,business,US,AS20394 
205.134.209.0,205.134.209.255,education,US,AS20394 
205.134.210.0,205.134.210.255,business,US,AS20394 
205.134.211.0,205.134.220.255,isp,US,AS20394 
205.134.221.0,205.134.221.71,business,US,AS20394 
205.134.221.72,205.134.221.95,isp,US,AS20394 
205.134.221.96,205.134.221.127,business,US,AS20394 
205.134.221.128,205.134.222.255,isp,US,AS20394 
205.134.223.0,205.134.223.255,business,US,AS20394 
205.134.224.0,205.134.233.255,hosting,US,AS17139 
205.134.234.0,205.134.234.255,hosting,US,AS22611 
205.134.235.0,205.134.235.255,business,US, 
205.134.236.0,205.134.237.255,hosting,US,AS21769 
205.134.238.0,205.134.239.255,hosting,US,AS22611 
205.134.240.0,205.134.240.255,business,US, 
205.134.241.0,205.134.241.255,hosting,US,AS22611 
205.134.242.0,205.134.243.255,business,US, 
205.134.244.0,205.134.247.255,business,US,AS7018 
205.134.248.0,205.134.248.255,business,US, 
205.134.249.0,205.134.255.255,hosting,US,AS22611 
