130.204.0.0,130.204.63.255,isp,BG,AS13124 
130.204.64.0,130.204.79.255,isp,BG,AS8717 
130.204.80.0,130.204.127.255,isp,BG,AS13124 
130.204.128.0,130.204.143.255,isp,BG,AS8717 
130.204.144.0,130.204.175.255,isp,BG,AS13124 
130.204.176.0,130.204.183.255,isp,BG,AS8717 
130.204.184.0,130.204.207.255,isp,BG,AS13124 
130.204.208.0,130.204.219.255,isp,BG,AS8717 
130.204.220.0,130.204.231.255,isp,BG,AS13124 
130.204.232.0,130.204.236.255,isp,BG,AS8717 
130.204.237.0,130.204.239.255,isp,BG,AS13124 
130.204.240.0,130.204.247.255,isp,BG,AS8717 
130.204.248.0,130.204.251.255,isp,BG,AS13124 
130.204.252.0,130.204.255.255,isp,BG,AS8717 
