130.226.2.0,130.226.5.255,business,DK 
130.226.6.0,130.226.31.255,education,DK 
130.226.32.0,130.226.47.255,business,DK 
130.226.48.0,130.226.79.255,education,DK 
130.226.80.0,130.226.95.255,business,DK 
130.226.96.0,130.226.111.255,education,DK 
130.226.112.0,130.226.127.255,business,DK 
130.226.128.0,130.226.136.167,education,DK 
130.226.136.168,130.226.136.175,isp,DK 
130.226.136.176,130.226.138.255,education,DK 
130.226.139.0,130.226.139.255,business,DK 
130.226.140.0,130.226.154.31,education,DK 
130.226.154.32,130.226.154.63,business,DK 
130.226.154.64,130.226.157.31,education,DK 
130.226.157.32,130.226.157.47,business,DK 
130.226.157.48,130.226.157.95,education,DK 
130.226.157.96,130.226.157.103,business,DK 
130.226.157.104,130.226.157.183,education,DK 
130.226.157.184,130.226.157.223,business,DK 
130.226.157.224,130.226.157.255,education,DK 
130.226.158.0,130.226.158.127,business,DK 
130.226.158.128,130.226.161.119,education,DK 
130.226.161.120,130.226.161.127,business,DK 
130.226.161.128,130.226.165.167,education,DK 
130.226.165.168,130.226.165.175,isp,DK 
130.226.165.176,130.226.169.127,education,DK 
130.226.169.128,130.226.169.191,business,DK 
130.226.169.192,130.226.173.15,education,DK 
130.226.173.16,130.226.173.23,business,DK 
130.226.173.24,130.226.179.55,education,DK 
130.226.179.56,130.226.179.63,isp,DK 
130.226.179.64,130.226.185.255,education,DK 
130.226.186.0,130.226.186.255,business,DK 
130.226.187.0,130.226.187.127,education,DK 
130.226.187.128,130.226.188.255,business,DK 
130.226.189.0,130.226.189.255,education,DK 
130.226.190.0,130.226.191.255,business,DK 
130.226.192.0,130.226.194.255,isp,DK 
130.226.195.0,130.226.213.103,education,DK 
130.226.213.104,130.226.213.111,isp,DK 
130.226.213.112,130.226.213.239,education,DK 
130.226.213.240,130.226.213.247,isp,DK 
130.226.213.248,130.226.214.151,education,DK 
130.226.214.152,130.226.214.159,isp,DK 
130.226.214.160,130.226.214.183,education,DK 
130.226.214.184,130.226.214.191,business,DK 
130.226.214.192,130.226.214.223,isp,DK 
130.226.214.224,130.226.214.231,business,DK 
130.226.214.232,130.226.214.247,education,DK 
130.226.214.248,130.226.214.255,business,DK 
130.226.215.0,130.226.217.191,education,DK 
130.226.217.192,130.226.217.223,isp,DK 
130.226.217.224,130.226.218.255,education,DK 
130.226.219.0,130.226.226.255,business,DK 
130.226.227.0,130.226.227.255,education,DK 
130.226.228.0,130.226.232.255,business,DK 
130.226.233.0,130.226.234.175,education,DK 
130.226.234.176,130.226.234.191,isp,DK 
130.226.234.192,130.226.239.127,education,DK 
130.226.239.128,130.226.239.255,business,DK 
130.226.240.0,130.226.253.255,education,DK 
130.226.254.0,130.226.254.31,business,DK 
130.226.254.32,130.226.254.63,education,DK 
130.226.254.64,130.226.254.71,isp,DK 
130.226.254.72,130.226.255.255,education,DK 
