130.185.0.0,130.185.63.255,isp,DE 
130.185.64.0,130.185.64.255,business,GB 
130.185.65.0,130.185.66.255,hosting,GB 
130.185.67.0,130.185.69.255,business,GB 
130.185.70.0,130.185.70.255,hosting,GB 
130.185.71.0,130.185.71.255,business,GB 
130.185.72.0,130.185.79.255,hosting,IR 
130.185.80.0,130.185.87.255,hosting,PT 
130.185.88.0,130.185.95.255,isp,ES 
130.185.96.0,130.185.103.255,isp,IL 
130.185.104.0,130.185.104.255,hosting,DE 
130.185.105.0,130.185.105.127,hosting,CZ 
130.185.105.128,130.185.106.255,hosting,DE 
130.185.107.0,130.185.107.255,isp,DE 
130.185.108.0,130.185.108.15,business,DE 
130.185.108.16,130.185.108.31,hosting,DE 
130.185.108.32,130.185.108.47,business,GB 
130.185.108.48,130.185.108.63,hosting,DE 
130.185.108.64,130.185.108.95,business,IT 
130.185.108.96,130.185.108.127,hosting,DE 
130.185.108.128,130.185.108.191,hosting,CZ 
130.185.108.192,130.185.108.223,hosting,DE 
130.185.108.224,130.185.108.255,business,DE 
130.185.109.0,130.185.111.31,hosting,DE 
130.185.111.32,130.185.111.255,business,DE 
130.185.112.0,130.185.115.255,isp,DE 
130.185.116.0,130.185.116.255,hosting,GB 
130.185.117.0,130.185.117.255,business,GB 
130.185.118.0,130.185.119.255,hosting,DE 
130.185.120.0,130.185.123.255,business,TR 
130.185.124.0,130.185.124.255,business,IE 
130.185.125.0,130.185.125.255,hosting,IE 
130.185.126.0,130.185.126.255,business,DE 
130.185.127.0,130.185.127.255,business,IE 
130.185.128.0,130.185.128.127,business,DK 
130.185.128.128,130.185.128.255,hosting,DK 
130.185.129.0,130.185.129.47,business,DK 
130.185.129.48,130.185.129.63,hosting,DK 
130.185.129.64,130.185.129.175,business,DK 
130.185.129.176,130.185.129.223,hosting,DK 
130.185.129.224,130.185.129.239,business,DK 
130.185.129.240,130.185.129.255,hosting,DK 
130.185.130.0,130.185.130.95,business,DK 
130.185.130.96,130.185.130.111,isp,DK 
130.185.130.112,130.185.130.199,business,DK 
130.185.130.200,130.185.130.207,hosting,DK 
130.185.130.208,130.185.131.47,business,DK 
130.185.131.48,130.185.131.159,hosting,DK 
130.185.131.160,130.185.131.175,business,DK 
130.185.131.176,130.185.131.191,hosting,DK 
130.185.131.192,130.185.131.215,business,DK 
130.185.131.216,130.185.131.223,hosting,DK 
130.185.131.224,130.185.131.255,business,DK 
130.185.132.0,130.185.132.255,hosting,DK 
130.185.133.0,130.185.134.31,business,DK 
130.185.134.32,130.185.134.47,hosting,DK 
130.185.134.48,130.185.134.175,business,DK 
130.185.134.176,130.185.135.15,hosting,DK 
130.185.135.16,130.185.135.63,business,DK 
130.185.135.64,130.185.135.95,hosting,DK 
130.185.135.96,130.185.135.127,business,DK 
130.185.135.128,130.185.135.135,hosting,DK 
130.185.135.136,130.185.135.143,business,DK 
130.185.135.144,130.185.135.183,hosting,DK 
130.185.135.184,130.185.135.215,business,DK 
130.185.135.216,130.185.135.223,hosting,DK 
130.185.135.224,130.185.135.239,business,DK 
130.185.135.240,130.185.135.255,hosting,DK 
130.185.136.0,130.185.136.127,business,DK 
130.185.136.128,130.185.136.135,education,DK 
130.185.136.136,130.185.136.143,hosting,DK 
130.185.136.144,130.185.136.159,education,DK 
130.185.136.160,130.185.136.175,business,DK 
130.185.136.176,130.185.136.191,hosting,DK 
130.185.136.192,130.185.136.223,business,DK 
130.185.136.224,130.185.136.255,hosting,DK 
130.185.137.0,130.185.143.255,business,DK 
130.185.144.0,130.185.148.127,hosting,GB 
130.185.148.128,130.185.148.191,business,GB 
130.185.148.192,130.185.149.255,hosting,GB 
130.185.150.0,130.185.150.255,business,GB 
130.185.151.0,130.185.151.255,hosting,GB 
130.185.152.0,130.185.153.255,business,SE 
130.185.154.0,130.185.155.255,hosting,SE 
130.185.156.0,130.185.157.255,business,SE 
130.185.158.0,130.185.158.255,business,FI 
130.185.159.0,130.185.159.255,business,SE 
130.185.160.0,130.185.160.31,hosting,GB 
130.185.160.32,130.185.163.255,business,GB 
130.185.164.0,130.185.165.255,business,US 
130.185.166.0,130.185.167.255,business,GB 
130.185.168.0,130.185.171.255,isp,DE 
130.185.172.0,130.185.175.255,business,MX 
130.185.176.0,130.185.177.255,business,CZ 
130.185.178.0,130.185.178.255,hosting,CZ 
130.185.179.0,130.185.181.255,business,CZ 
130.185.182.0,130.185.183.255,hosting,US 
130.185.184.0,130.185.191.255,isp,FR 
130.185.192.0,130.185.223.255,isp,BG 
130.185.224.0,130.185.225.255,business,BG 
130.185.226.0,130.185.226.255,isp,BG 
130.185.227.0,130.185.227.255,business,BG 
130.185.228.0,130.185.228.255,hosting,BG 
130.185.229.0,130.185.229.255,business,BG 
130.185.230.0,130.185.231.255,isp,BG 
130.185.232.0,130.185.232.255,hosting,BG 
130.185.233.0,130.185.233.255,isp,BG 
130.185.234.0,130.185.234.255,isp,GR 
130.185.235.0,130.185.236.255,hosting,BG 
130.185.237.0,130.185.237.255,business,BG 
130.185.238.0,130.185.238.255,hosting,BR 
130.185.239.0,130.185.239.255,hosting,BG 
130.185.240.0,130.185.247.255,isp,BG 
130.185.248.0,130.185.248.255,hosting,BG 
130.185.249.0,130.185.249.255,hosting,GB 
130.185.250.0,130.185.250.255,hosting,BG 
130.185.251.0,130.185.251.255,hosting,GB 
130.185.252.0,130.185.252.255,isp,BG 
130.185.253.0,130.185.253.255,hosting,BG 
130.185.254.0,130.185.254.255,isp,NL 
130.185.255.0,130.185.255.255,business,MT 
