130.214.0.0,130.214.31.255,hosting,DE 
130.214.32.0,130.214.33.255,hosting,US 
130.214.34.0,130.214.79.255,hosting,DE 
130.214.80.0,130.214.81.255,business,AE 
130.214.82.0,130.214.105.255,hosting,DE 
130.214.106.0,130.214.107.255,business,US 
130.214.108.0,130.214.109.255,hosting,US 
130.214.110.0,130.214.117.255,hosting,DE 
130.214.118.0,130.214.119.255,hosting,US 
130.214.120.0,130.214.133.255,hosting,DE 
130.214.134.0,130.214.135.255,business,US 
130.214.136.0,130.214.141.255,hosting,DE 
130.214.142.0,130.214.143.255,hosting,US 
130.214.144.0,130.214.173.255,hosting,DE 
130.214.174.0,130.214.175.255,hosting,CA 
130.214.176.0,130.214.177.255,hosting,DE 
130.214.178.0,130.214.179.255,business,US 
130.214.180.0,130.214.185.255,hosting,US 
130.214.186.0,130.214.195.255,hosting,DE 
130.214.196.0,130.214.197.255,business,AE 
130.214.198.0,130.214.205.255,hosting,DE 
130.214.206.0,130.214.207.255,hosting,US 
130.214.208.0,130.214.209.255,business,SA 
130.214.210.0,130.214.221.255,hosting,DE 
130.214.222.0,130.214.223.255,business,SA 
130.214.224.0,130.214.233.255,hosting,DE 
130.214.234.0,130.214.235.255,business,US 
130.214.236.0,130.214.241.255,hosting,DE 
130.214.242.0,130.214.243.255,business,US 
130.214.244.0,130.214.249.255,hosting,DE 
130.214.250.0,130.214.251.255,business,AE 
130.214.252.0,130.214.253.255,business,RU 
130.214.254.0,130.214.255.255,business,US 
