200.13.0.0,200.13.7.255,education,CL,AS11340 
200.13.8.0,200.13.15.255,isp,BR,AS262591 
200.13.16.0,200.13.31.255,isp,MX,AS19332 
200.13.32.0,200.13.32.255,business,BR,AS269716 
200.13.33.0,200.13.33.255,isp,MX, 
200.13.34.0,200.13.34.255,business,MX,AS20173 
200.13.35.0,200.13.35.255,education,MX, 
200.13.36.0,200.13.37.255,business,MX, 
200.13.38.0,200.13.39.255,business,MX,AS13591 
200.13.40.0,200.13.40.255,business,MX,AS8151 
200.13.41.0,200.13.41.255,business,AR,AS11664 
200.13.42.0,200.13.43.255,business,AR,AS52275 
200.13.44.0,200.13.47.255,isp,AR,AS52296 
200.13.48.0,200.13.63.255,education,MX,AS8151 
200.13.64.0,200.13.82.255,business,MX, 
200.13.83.0,200.13.83.255,isp,AR,AS52324 
200.13.84.0,200.13.87.255,isp,BR,AS270440 
200.13.88.0,200.13.95.255,education,MX,AS21603 
200.13.96.0,200.13.111.255,education,MX,AS28382 
200.13.112.0,200.13.127.255,business,MX,AS17249 
200.13.128.0,200.13.131.255,business,MX, 
200.13.132.0,200.13.135.255,business,HN,AS52287 
200.13.136.0,200.13.143.255,isp,GF,AS27806 
200.13.144.0,200.13.151.255,isp,CU,AS27725 
200.13.152.0,200.13.159.255,business,BO,AS6568 
200.13.160.0,200.13.161.255,isp,SV,AS26617 
200.13.162.0,200.13.165.255,isp,HN,AS23383 
200.13.166.0,200.13.167.255,business,HN, 
200.13.168.0,200.13.171.183,isp,SV,AS27773 
200.13.171.184,200.13.171.191,business,SV,AS27773 
200.13.171.192,200.13.174.255,isp,SV,AS27773 
200.13.175.0,200.13.175.255,isp,HN,AS23383 
200.13.176.0,200.13.176.255,business,HN,AS23383 
200.13.177.0,200.13.178.255,isp,HN, 
200.13.179.0,200.13.179.255,business,HN, 
200.13.180.0,200.13.180.255,isp,SV,AS27773 
200.13.181.0,200.13.181.255,isp,HN, 
200.13.182.0,200.13.182.255,business,HN, 
200.13.183.0,200.13.183.255,isp,HN,AS23383 
200.13.184.0,200.13.186.255,isp,SV,AS27773 
200.13.187.0,200.13.187.255,isp,HN,AS23383 
200.13.188.0,200.13.188.255,business,HN, 
200.13.189.0,200.13.191.255,isp,SV,AS27773 
200.13.192.0,200.13.194.255,business,CO,AS18747 
200.13.195.0,200.13.195.255,hosting,CO,AS18747 
200.13.196.0,200.13.223.255,business,CO,AS18747 
200.13.224.0,200.13.225.55,isp,CO,AS13489 
200.13.225.56,200.13.225.63,business,CO,AS13489 
200.13.225.64,200.13.237.207,isp,CO,AS13489 
200.13.237.208,200.13.237.215,business,CO,AS13489 
200.13.237.216,200.13.245.207,isp,CO,AS13489 
200.13.245.208,200.13.245.215,business,CO,AS13489 
200.13.245.216,200.13.246.159,isp,CO,AS13489 
200.13.246.160,200.13.246.167,business,CO,AS13489 
200.13.246.168,200.13.252.47,isp,CO,AS13489 
200.13.252.48,200.13.252.63,business,CO,AS13489 
200.13.252.64,200.13.252.119,isp,CO,AS13489 
200.13.252.120,200.13.252.127,business,CO,AS13489 
200.13.252.128,200.13.254.223,isp,CO,AS13489 
200.13.254.224,200.13.254.231,business,CO,AS13489 
200.13.254.232,200.13.255.255,isp,CO,AS13489 
