200.114.0.0,200.114.63.255,isp,CO,AS13489 
200.114.64.0,200.114.79.255,isp,CL,AS270065 
200.114.80.0,200.114.81.255,isp,AR,AS273088 
200.114.82.0,200.114.87.255,isp,AR,AS28065 
200.114.88.0,200.114.95.255,business,CL,AS28120 
200.114.96.0,200.114.103.255,isp,AR,AS28080 
200.114.104.0,200.114.111.255,isp,AR,AS28093 
200.114.112.0,200.114.112.7,isp,GT,AS28087 
200.114.112.8,200.114.112.63,business,GT,AS28087 
200.114.112.64,200.114.112.71,isp,GT,AS28087 
200.114.112.72,200.114.112.83,business,GT,AS28087 
200.114.112.84,200.114.112.87,isp,GT,AS28087 
200.114.112.88,200.114.112.95,business,GT,AS28087 
200.114.112.96,200.114.112.111,isp,GT,AS28087 
200.114.112.112,200.114.112.115,business,GT,AS28087 
200.114.112.116,200.114.112.127,isp,GT,AS28087 
200.114.112.128,200.114.112.167,business,GT,AS28087 
200.114.112.168,200.114.112.175,isp,GT,AS28087 
200.114.112.176,200.114.112.199,business,GT,AS28087 
200.114.112.200,200.114.112.207,isp,GT,AS28087 
200.114.112.208,200.114.112.231,business,GT,AS28087 
200.114.112.232,200.114.113.7,isp,GT,AS28087 
200.114.113.8,200.114.113.27,business,GT,AS28087 
200.114.113.28,200.114.113.31,isp,GT,AS28087 
200.114.113.32,200.114.113.35,business,GT,AS28087 
200.114.113.36,200.114.113.39,isp,GT,AS28087 
200.114.113.40,200.114.113.43,business,GT,AS28087 
200.114.113.44,200.114.113.67,isp,GT,AS28087 
200.114.113.68,200.114.113.83,business,GT,AS28087 
200.114.113.84,200.114.113.87,isp,GT,AS28087 
200.114.113.88,200.114.113.103,business,GT,AS28087 
200.114.113.104,200.114.113.107,isp,GT,AS28087 
200.114.113.108,200.114.113.111,business,GT,AS28087 
200.114.113.112,200.114.113.119,isp,GT,AS28087 
200.114.113.120,200.114.113.127,business,GT,AS28087 
200.114.113.128,200.114.113.135,isp,GT,AS28087 
200.114.113.136,200.114.113.151,business,GT,AS28087 
200.114.113.152,200.114.113.167,isp,GT,AS28087 
200.114.113.168,200.114.113.175,business,GT,AS28087 
200.114.113.176,200.114.113.183,isp,GT,AS28087 
200.114.113.184,200.114.113.191,business,GT,AS28087 
200.114.113.192,200.114.113.199,isp,GT,AS28087 
200.114.113.200,200.114.113.219,business,GT,AS28087 
200.114.113.220,200.114.113.223,education,GT,AS28087 
200.114.113.224,200.114.113.231,isp,GT,AS28087 
200.114.113.232,200.114.113.247,business,GT,AS28087 
200.114.113.248,200.114.114.7,isp,GT,AS28087 
200.114.114.8,200.114.114.31,business,GT,AS28087 
200.114.114.32,200.114.114.63,isp,GT,AS28087 
200.114.114.64,200.114.114.163,business,GT,AS28087 
200.114.114.164,200.114.114.167,isp,GT,AS28087 
200.114.114.168,200.114.114.175,business,GT,AS28087 
200.114.114.176,200.114.114.183,isp,GT,AS28087 
200.114.114.184,200.114.114.223,business,GT,AS28087 
200.114.114.224,200.114.114.227,isp,GT,AS28087 
200.114.114.228,200.114.114.251,business,GT,AS28087 
200.114.114.252,200.114.115.15,isp,GT,AS28087 
200.114.115.16,200.114.115.23,business,GT,AS28087 
200.114.115.24,200.114.115.31,isp,GT,AS28087 
200.114.115.32,200.114.115.43,business,GT,AS28087 
200.114.115.44,200.114.115.47,isp,GT,AS28087 
200.114.115.48,200.114.115.55,business,GT,AS28087 
200.114.115.56,200.114.115.59,isp,GT,AS28087 
200.114.115.60,200.114.115.63,business,GT,AS28087 
200.114.115.64,200.114.115.95,isp,GT,AS28087 
200.114.115.96,200.114.115.135,business,GT,AS28087 
200.114.115.136,200.114.115.139,isp,GT,AS28087 
200.114.115.140,200.114.115.143,business,GT,AS28087 
200.114.115.144,200.114.115.151,isp,GT,AS28087 
200.114.115.152,200.114.115.159,business,GT,AS28087 
200.114.115.160,200.114.115.163,isp,GT,AS28087 
200.114.115.164,200.114.115.191,business,GT,AS28087 
200.114.115.192,200.114.115.199,isp,GT,AS28087 
200.114.115.200,200.114.115.207,business,GT,AS28087 
200.114.115.208,200.114.115.227,isp,GT,AS28087 
200.114.115.228,200.114.115.235,business,GT,AS28087 
200.114.115.236,200.114.115.239,education,GT,AS28087 
