200.218.0.0,200.218.19.15,business,BR 
200.218.19.16,200.218.19.31,education,BR 
200.218.19.32,200.218.31.255,business,BR 
200.218.32.0,200.218.63.255,isp,BR 
200.218.64.0,200.218.127.255,business,BR 
200.218.128.0,200.218.131.255,hosting,BR 
200.218.132.0,200.218.132.255,business,BR 
200.218.133.0,200.218.135.19,hosting,BR 
200.218.135.20,200.218.135.23,business,BR 
200.218.135.24,200.218.141.255,hosting,BR 
200.218.142.0,200.218.142.255,business,BR 
200.218.143.0,200.218.144.22,hosting,BR 
200.218.144.23,200.218.144.23,business,BR 
200.218.144.24,200.218.144.42,hosting,BR 
200.218.144.43,200.218.144.49,isp,BR 
200.218.144.50,200.218.144.64,hosting,BR 
200.218.144.65,200.218.144.66,isp,BR 
200.218.144.67,200.218.144.77,hosting,BR 
200.218.144.78,200.218.144.115,business,BR 
200.218.144.116,200.218.144.120,hosting,BR 
200.218.144.121,200.218.144.125,business,BR 
200.218.144.126,200.218.153.255,hosting,BR 
200.218.154.0,200.218.154.7,business,BR 
200.218.154.8,200.218.154.95,hosting,BR 
200.218.154.96,200.218.154.127,business,BR 
200.218.154.128,200.218.156.43,hosting,BR 
200.218.156.44,200.218.156.45,business,BR 
200.218.156.46,200.218.156.82,hosting,BR 
200.218.156.83,200.218.156.83,business,BR 
200.218.156.84,200.218.156.85,hosting,BR 
200.218.156.86,200.218.156.97,business,BR 
200.218.156.98,200.218.156.98,hosting,BR 
200.218.156.99,200.218.156.99,business,BR 
200.218.156.100,200.218.156.104,hosting,BR 
200.218.156.105,200.218.156.106,isp,BR 
200.218.156.107,200.218.156.107,hosting,BR 
200.218.156.108,200.218.156.109,isp,BR 
200.218.156.110,200.218.156.110,hosting,BR 
200.218.156.111,200.218.156.112,isp,BR 
200.218.156.113,200.218.156.129,hosting,BR 
200.218.156.130,200.218.156.130,isp,BR 
200.218.156.131,200.218.165.255,hosting,BR 
200.218.166.0,200.218.166.255,isp,BR 
200.218.167.0,200.218.182.111,hosting,BR 
200.218.182.112,200.218.182.159,business,BR 
200.218.182.160,200.218.183.143,hosting,BR 
200.218.183.144,200.218.183.159,business,BR 
200.218.183.160,200.218.183.163,hosting,BR 
200.218.183.164,200.218.183.167,business,BR 
200.218.183.168,200.218.183.183,hosting,BR 
200.218.183.184,200.218.183.191,business,BR 
200.218.183.192,200.218.184.63,hosting,BR 
200.218.184.64,200.218.184.79,business,BR 
200.218.184.80,200.218.184.95,hosting,BR 
200.218.184.96,200.218.184.119,business,BR 
200.218.184.120,200.218.184.183,hosting,BR 
200.218.184.184,200.218.184.191,business,BR 
200.218.184.192,200.218.186.7,hosting,BR 
200.218.186.8,200.218.186.15,business,BR 
200.218.186.16,200.218.187.175,hosting,BR 
200.218.187.176,200.218.187.191,business,BR 
200.218.187.192,200.218.187.223,hosting,BR 
200.218.187.224,200.218.187.255,business,BR 
200.218.188.0,200.218.191.255,hosting,BR 
200.218.192.0,200.218.207.255,business,BR 
200.218.208.0,200.218.223.255,government,BR 
200.218.224.0,200.218.227.255,hosting,BR 
200.218.228.0,200.218.235.255,isp,BR 
200.218.236.0,200.218.239.255,hosting,BR 
200.218.240.0,200.218.241.215,isp,BR 
200.218.241.216,200.218.241.223,business,BR 
200.218.241.224,200.218.241.239,isp,BR 
200.218.241.240,200.218.241.247,business,BR 
200.218.241.248,200.218.243.231,isp,BR 
200.218.243.232,200.218.243.239,business,BR 
200.218.243.240,200.218.243.255,isp,BR 
200.218.244.0,200.218.244.15,business,BR 
200.218.244.16,200.218.244.127,isp,BR 
200.218.244.128,200.218.244.135,business,BR 
200.218.244.136,200.218.244.151,isp,BR 
200.218.244.152,200.218.244.183,business,BR 
200.218.244.184,200.218.245.127,isp,BR 
200.218.245.128,200.218.245.143,business,BR 
200.218.245.144,200.218.245.167,isp,BR 
200.218.245.168,200.218.245.175,business,BR 
200.218.245.176,200.218.246.143,isp,BR 
200.218.246.144,200.218.246.151,business,BR 
200.218.246.152,200.218.246.175,isp,BR 
200.218.246.176,200.218.246.183,business,BR 
200.218.246.184,200.218.247.135,isp,BR 
200.218.247.136,200.218.247.143,business,BR 
200.218.247.144,200.218.247.159,isp,BR 
200.218.247.160,200.218.247.167,business,BR 
200.218.247.168,200.218.247.183,isp,BR 
200.218.247.184,200.218.247.191,business,BR 
200.218.247.192,200.218.248.159,isp,BR 
200.218.248.160,200.218.248.175,business,BR 
200.218.248.176,200.218.248.183,isp,BR 
200.218.248.184,200.218.248.231,business,BR 
200.218.248.232,200.218.249.151,isp,BR 
200.218.249.152,200.218.249.159,business,BR 
200.218.249.160,200.218.249.167,isp,BR 
200.218.249.168,200.218.249.175,business,BR 
200.218.249.176,200.218.249.183,isp,BR 
200.218.249.184,200.218.249.191,business,BR 
200.218.249.192,200.218.250.151,isp,BR 
200.218.250.152,200.218.250.159,business,BR 
200.218.250.160,200.218.250.167,isp,BR 
200.218.250.168,200.218.250.191,business,BR 
200.218.250.192,200.218.250.199,isp,BR 
200.218.250.200,200.218.250.207,business,BR 
200.218.250.208,200.218.250.215,isp,BR 
200.218.250.216,200.218.250.231,business,BR 
200.218.250.232,200.218.250.239,isp,BR 
200.218.250.240,200.218.250.247,business,BR 
200.218.250.248,200.218.251.127,isp,BR 
200.218.251.128,200.218.251.135,business,BR 
200.218.251.136,200.218.251.151,isp,BR 
200.218.251.152,200.218.251.159,business,BR 
200.218.251.160,200.218.251.191,isp,BR 
200.218.251.192,200.218.251.199,business,BR 
200.218.251.200,200.218.251.215,isp,BR 
200.218.251.216,200.218.251.231,business,BR 
200.218.251.232,200.218.251.239,isp,BR 
200.218.251.240,200.218.251.247,business,BR 
200.218.251.248,200.218.252.143,isp,BR 
200.218.252.144,200.218.252.151,business,BR 
200.218.252.152,200.218.252.167,isp,BR 
200.218.252.168,200.218.252.175,business,BR 
200.218.252.176,200.218.252.183,education,BR 
200.218.252.184,200.218.252.191,business,BR 
200.218.252.192,200.218.252.199,isp,BR 
200.218.252.200,200.218.252.207,business,BR 
200.218.252.208,200.218.252.215,education,BR 
200.218.252.216,200.218.252.239,isp,BR 
200.218.252.240,200.218.252.247,education,BR 
200.218.252.248,200.218.253.79,isp,BR 
200.218.253.80,200.218.253.95,business,BR 
200.218.253.96,200.218.253.135,isp,BR 
200.218.253.136,200.218.253.151,business,BR 
200.218.253.152,200.218.253.167,isp,BR 
200.218.253.168,200.218.253.191,business,BR 
200.218.253.192,200.218.254.127,isp,BR 
200.218.254.128,200.218.254.135,business,BR 
200.218.254.136,200.218.254.143,education,BR 
200.218.254.144,200.218.254.151,isp,BR 
200.218.254.152,200.218.254.159,business,BR 
200.218.254.160,200.218.254.175,isp,BR 
200.218.254.176,200.218.254.191,business,BR 
200.218.254.192,200.218.254.199,isp,BR 
200.218.254.200,200.218.254.215,business,BR 
200.218.254.216,200.218.254.223,isp,BR 
200.218.254.224,200.218.254.231,business,BR 
200.218.254.232,200.218.254.239,isp,BR 
200.218.254.240,200.218.254.247,business,BR 
200.218.254.248,200.218.255.159,isp,BR 
200.218.255.160,200.218.255.167,business,BR 
200.218.255.168,200.218.255.175,isp,BR 
200.218.255.176,200.218.255.207,business,BR 
200.218.255.208,200.219.3.255,isp,BR 
