200.236.0.0,200.236.63.255,education,BR 
200.236.64.0,200.236.127.255,isp,MX 
200.236.128.0,200.236.191.255,hosting,BR 
200.236.192.0,200.236.215.255,isp,BR 
200.236.216.0,200.236.216.7,business,BR 
200.236.216.8,200.236.216.55,isp,BR 
200.236.216.56,200.236.216.63,business,BR 
200.236.216.64,200.236.216.139,isp,BR 
200.236.216.140,200.236.216.143,business,BR 
200.236.216.144,200.236.216.159,isp,BR 
200.236.216.160,200.236.216.167,business,BR 
200.236.216.168,200.236.216.183,isp,BR 
200.236.216.184,200.236.216.187,business,BR 
200.236.216.188,200.236.216.191,isp,BR 
200.236.216.192,200.236.216.199,business,BR 
200.236.216.200,200.236.216.231,isp,BR 
200.236.216.232,200.236.216.255,business,BR 
200.236.217.0,200.236.217.7,isp,BR 
200.236.217.8,200.236.217.15,business,BR 
200.236.217.16,200.236.217.39,isp,BR 
200.236.217.40,200.236.217.43,business,BR 
200.236.217.44,200.236.217.47,isp,BR 
200.236.217.48,200.236.217.55,business,BR 
200.236.217.56,200.236.217.79,isp,BR 
200.236.217.80,200.236.217.103,business,BR 
200.236.217.104,200.236.217.159,isp,BR 
200.236.217.160,200.236.217.163,business,BR 
200.236.217.164,200.236.217.175,isp,BR 
200.236.217.176,200.236.217.179,business,BR 
200.236.217.180,200.236.217.191,isp,BR 
200.236.217.192,200.236.217.199,business,BR 
200.236.217.200,200.236.217.215,isp,BR 
200.236.217.216,200.236.217.223,business,BR 
200.236.217.224,200.236.219.3,isp,BR 
200.236.219.4,200.236.219.7,business,BR 
200.236.219.8,200.236.219.115,isp,BR 
200.236.219.116,200.236.219.127,business,BR 
200.236.219.128,200.236.219.139,isp,BR 
200.236.219.140,200.236.219.159,business,BR 
200.236.219.160,200.236.219.179,isp,BR 
200.236.219.180,200.236.219.207,business,BR 
200.236.219.208,200.236.220.7,isp,BR 
200.236.220.8,200.236.220.31,business,BR 
200.236.220.32,200.236.220.47,isp,BR 
200.236.220.48,200.236.220.55,business,BR 
200.236.220.56,200.236.220.63,isp,BR 
200.236.220.64,200.236.220.71,business,BR 
200.236.220.72,200.236.220.87,isp,BR 
200.236.220.88,200.236.220.103,business,BR 
200.236.220.104,200.236.220.119,isp,BR 
200.236.220.120,200.236.220.131,business,BR 
200.236.220.132,200.236.221.59,isp,BR 
200.236.221.60,200.236.221.63,business,BR 
200.236.221.64,200.236.221.67,isp,BR 
200.236.221.68,200.236.221.71,business,BR 
200.236.221.72,200.236.255.255,isp,BR 
