200.217.6.104,200.217.6.111,education,BR,AS7738 
200.217.6.112,200.217.9.199,isp,BR,AS7738 
200.217.9.200,200.217.9.207,business,BR,AS7738 
200.217.9.208,200.217.18.255,isp,BR,AS7738 
200.217.19.0,200.217.19.255,business,BR,AS7738 
200.217.20.0,200.217.54.255,isp,BR,AS7738 
200.217.55.0,200.217.55.255,business,BR,AS7738 
200.217.56.0,200.217.66.151,isp,BR,AS7738 
200.217.66.152,200.217.66.159,business,BR,AS7738 
200.217.66.160,200.217.68.255,isp,BR,AS7738 
200.217.69.0,200.217.69.31,business,BR,AS7738 
200.217.69.32,200.217.69.159,isp,BR,AS7738 
200.217.69.160,200.217.69.191,business,BR,AS7738 
200.217.69.192,200.217.70.31,isp,BR,AS7738 
200.217.70.32,200.217.70.47,business,BR,AS7738 
200.217.70.48,200.217.70.95,isp,BR,AS7738 
200.217.70.96,200.217.70.111,business,BR,AS7738 
200.217.70.112,200.217.74.247,isp,BR,AS7738 
200.217.74.248,200.217.74.255,business,BR,AS7738 
200.217.75.0,200.217.76.127,isp,BR,AS7738 
200.217.76.128,200.217.76.135,business,BR,AS7738 
200.217.76.136,200.217.76.159,isp,BR,AS7738 
200.217.76.160,200.217.76.167,business,BR,AS7738 
200.217.76.168,200.217.76.183,isp,BR,AS7738 
200.217.76.184,200.217.76.191,business,BR,AS7738 
200.217.76.192,200.217.76.223,isp,BR,AS7738 
200.217.76.224,200.217.76.255,business,BR,AS7738 
200.217.77.0,200.217.149.95,isp,BR,AS7738 
200.217.149.96,200.217.149.103,business,BR,AS7738 
200.217.149.104,200.217.149.191,isp,BR,AS7738 
200.217.149.192,200.217.149.207,business,BR,AS7738 
200.217.149.208,200.217.153.255,isp,BR,AS7738 
200.217.154.0,200.217.154.255,business,BR,AS7738 
200.217.155.0,200.217.160.255,isp,BR,AS7738 
200.217.161.0,200.217.161.15,business,BR,AS7738 
200.217.161.16,200.217.161.95,isp,BR,AS7738 
200.217.161.96,200.217.161.111,business,BR,AS7738 
200.217.161.112,200.217.162.39,isp,BR,AS7738 
200.217.162.40,200.217.162.47,business,BR,AS7738 
200.217.162.48,200.217.163.63,isp,BR,AS7738 
200.217.163.64,200.217.163.95,business,BR,AS7738 
200.217.163.96,200.217.164.79,isp,BR,AS7738 
200.217.164.80,200.217.164.95,business,BR,AS7738 
200.217.164.96,200.217.166.223,isp,BR,AS7738 
200.217.166.224,200.217.166.239,business,BR,AS7738 
200.217.166.240,200.217.168.255,isp,BR,AS7738 
200.217.169.0,200.217.169.71,business,BR,AS7738 
200.217.169.72,200.217.172.127,isp,BR,AS7738 
200.217.172.128,200.217.172.159,business,BR,AS7738 
200.217.172.160,200.217.178.223,isp,BR,AS7738 
200.217.178.224,200.217.178.255,business,BR,AS7738 
200.217.179.0,200.217.185.7,isp,BR,AS7738 
200.217.185.8,200.217.185.15,business,BR,AS7738 
200.217.185.16,200.217.185.159,isp,BR,AS7738 
200.217.185.160,200.217.185.175,business,BR,AS7738 
200.217.185.176,200.217.186.95,isp,BR,AS7738 
200.217.186.96,200.217.186.111,business,BR,AS7738 
200.217.186.112,200.217.190.231,isp,BR,AS7738 
200.217.190.232,200.217.190.239,business,BR,AS7738 
200.217.190.240,200.217.192.39,isp,BR,AS7738 
200.217.192.40,200.217.192.47,business,BR,AS7738 
200.217.192.48,200.217.194.255,isp,BR,AS7738 
200.217.195.0,200.217.195.255,business,BR,AS7738 
200.217.196.0,200.217.196.255,isp,BR,AS7738 
200.217.197.0,200.217.197.127,business,BR,AS7738 
200.217.197.128,200.217.210.239,isp,BR,AS7738 
200.217.210.240,200.217.210.255,business,BR,AS7738 
200.217.211.0,200.217.216.87,isp,BR,AS7738 
200.217.216.88,200.217.216.95,business,BR,AS7738 
200.217.216.96,200.217.218.223,isp,BR,AS7738 
200.217.218.224,200.217.218.255,business,BR,AS7738 
200.217.219.0,200.217.220.63,isp,BR,AS7738 
200.217.220.64,200.217.220.127,business,BR,AS7738 
200.217.220.128,200.217.220.175,isp,BR,AS7738 
200.217.220.176,200.217.220.183,business,BR,AS7738 
200.217.220.184,200.217.231.63,isp,BR,AS7738 
200.217.231.64,200.217.231.95,business,BR,AS7738 
200.217.231.96,200.217.236.159,isp,BR,AS7738 
200.217.236.160,200.217.236.167,business,BR,AS7738 
200.217.236.168,200.217.241.63,isp,BR,AS7738 
200.217.241.64,200.217.241.95,business,BR,AS7738 
200.217.241.96,200.217.241.111,isp,BR,AS7738 
200.217.241.112,200.217.241.127,business,BR,AS7738 
200.217.241.128,200.217.241.239,isp,BR,AS7738 
200.217.241.240,200.217.241.247,business,BR,AS7738 
200.217.241.248,200.217.242.255,isp,BR,AS7738 
200.217.243.0,200.217.243.255,business,BR,AS7738 
200.217.244.0,200.217.249.159,isp,BR,AS7738 
200.217.249.160,200.217.249.167,business,BR,AS7738 
200.217.249.168,200.217.249.175,isp,BR,AS7738 
200.217.249.176,200.217.249.183,business,BR,AS7738 
200.217.249.184,200.217.255.255,isp,BR,AS7738 
