200.187.0.0,200.187.30.63,government,BR 
200.187.30.64,200.187.30.127,business,BR 
200.187.30.128,200.187.63.255,government,BR 
200.187.64.0,200.187.79.255,hosting,BR 
200.187.80.0,200.187.111.255,isp,BR 
200.187.112.0,200.187.127.255,hosting,BR 
200.187.128.0,200.187.128.127,isp,BR 
200.187.128.128,200.187.129.127,business,BR 
200.187.129.128,200.187.131.15,isp,BR 
200.187.131.16,200.187.131.63,business,BR 
200.187.131.64,200.187.131.127,isp,BR 
200.187.131.128,200.187.132.255,business,BR 
200.187.133.0,200.187.133.119,isp,BR 
200.187.133.120,200.187.133.127,business,BR 
200.187.133.128,200.187.133.191,isp,BR 
200.187.133.192,200.187.133.207,business,BR 
200.187.133.208,200.187.137.39,isp,BR 
200.187.137.40,200.187.137.47,business,BR 
200.187.137.48,200.187.137.151,isp,BR 
200.187.137.152,200.187.137.159,business,BR 
200.187.137.160,200.187.137.191,isp,BR 
200.187.137.192,200.187.137.255,business,BR 
200.187.138.0,200.187.138.255,isp,BR 
200.187.139.0,200.187.139.255,business,BR 
200.187.140.0,200.187.141.63,isp,BR 
200.187.141.64,200.187.141.127,business,BR 
200.187.141.128,200.187.143.63,isp,BR 
200.187.143.64,200.187.143.127,business,BR 
200.187.143.128,200.187.144.167,isp,BR 
200.187.144.168,200.187.144.175,business,BR 
200.187.144.176,200.187.145.15,isp,BR 
200.187.145.16,200.187.145.127,business,BR 
200.187.145.128,200.187.147.111,isp,BR 
200.187.147.112,200.187.147.127,business,BR 
200.187.147.128,200.187.147.191,isp,BR 
200.187.147.192,200.187.147.255,business,BR 
200.187.148.0,200.187.148.95,isp,BR 
200.187.148.96,200.187.148.127,business,BR 
200.187.148.128,200.187.149.191,isp,BR 
200.187.149.192,200.187.150.127,business,BR 
200.187.150.128,200.187.155.159,isp,BR 
200.187.155.160,200.187.155.255,business,BR 
200.187.156.0,200.187.158.127,isp,BR 
200.187.158.128,200.187.158.191,business,BR 
200.187.158.192,200.187.178.127,isp,BR 
200.187.178.128,200.187.178.159,business,BR 
200.187.178.160,200.187.191.255,isp,BR 
200.187.192.0,200.187.255.255,business,BR 
