200.125.0.0,200.125.63.255,isp,UY,AS6057 
200.125.64.0,200.125.127.255,isp,AR,AS27747 
200.125.128.0,200.125.128.255,isp,EC,AS27947 
200.125.129.0,200.125.129.255,isp,BR,AS271180 
200.125.130.0,200.125.159.255,isp,EC,AS27947 
200.125.160.0,200.125.163.95,isp,TT,AS27924 
200.125.163.96,200.125.163.103,business,TT,AS27924 
200.125.163.104,200.125.163.143,isp,TT,AS27924 
200.125.163.144,200.125.163.151,education,TT,AS27924 
200.125.163.152,200.125.163.255,isp,TT,AS27924 
200.125.164.0,200.125.164.63,business,TT,AS27924 
200.125.164.64,200.125.164.103,isp,TT,AS27924 
200.125.164.104,200.125.164.111,business,TT,AS27924 
200.125.164.112,200.125.165.255,isp,TT,AS27924 
200.125.166.0,200.125.166.31,business,TT,AS27924 
200.125.166.32,200.125.166.63,isp,TT,AS27924 
200.125.166.64,200.125.166.95,business,TT,AS27924 
200.125.166.96,200.125.167.255,isp,TT,AS27924 
200.125.168.0,200.125.171.255,isp,DO,AS269931 
200.125.172.0,200.125.175.255,isp,BR,AS270280 
200.125.176.0,200.125.179.255,isp,BR,AS265300 
200.125.180.0,200.125.183.255,isp,BR,AS270281 
200.125.184.0,200.125.186.111,business,VE,AS394684 
200.125.186.112,200.125.186.119,isp,VE,AS394684 
200.125.186.120,200.125.188.247,business,VE,AS394684 
200.125.188.248,200.125.188.255,education,VE,AS394684 
200.125.189.0,200.125.189.15,business,VE,AS394684 
200.125.189.16,200.125.189.31,education,VE,AS394684 
200.125.189.32,200.125.189.39,business,VE,AS394684 
200.125.189.40,200.125.189.47,education,VE,AS394684 
200.125.189.48,200.125.189.183,business,VE,AS394684 
200.125.189.184,200.125.189.191,isp,VE,AS394684 
200.125.189.192,200.125.189.199,business,VE,AS394684 
200.125.189.200,200.125.189.207,isp,VE,AS394684 
200.125.189.208,200.125.191.15,business,VE,AS394684 
200.125.191.16,200.125.191.23,isp,VE,AS394684 
200.125.191.24,200.125.191.255,business,VE,AS394684 
200.125.192.0,200.125.253.255,isp,EC,AS28006 
200.125.254.0,200.125.255.255,isp,EC, 
