200.110.0.0,200.110.47.255,isp,PE,AS19180 
200.110.173.226,200.110.173.241,isp,CO,AS27951 
200.110.173.242,200.110.173.247,business,CO,AS27951 
200.110.173.248,200.110.174.21,isp,CO,AS27951 
200.110.174.22,200.110.174.22,business,CO,AS27951 
200.110.174.23,200.110.174.61,isp,CO,AS27951 
200.110.174.62,200.110.174.62,business,CO,AS27951 
200.110.174.63,200.110.174.63,isp,CO,AS27951 
200.110.174.64,200.110.174.65,business,CO,AS27951 
200.110.174.66,200.110.174.73,isp,CO,AS27951 
200.110.174.74,200.110.174.74,business,CO,AS27951 
200.110.174.75,200.110.174.88,isp,CO,AS27951 
200.110.174.89,200.110.174.89,business,CO,AS27951 
200.110.174.90,200.110.174.93,isp,CO,AS27951 
200.110.174.94,200.110.174.94,business,CO,AS27951 
200.110.174.95,200.110.174.104,isp,CO,AS27951 
200.110.174.105,200.110.174.108,business,CO,AS27951 
200.110.174.109,200.110.174.118,isp,CO,AS27951 
200.110.174.119,200.110.174.119,business,CO,AS27951 
200.110.174.120,200.110.174.143,isp,CO,AS27951 
200.110.174.144,200.110.174.151,business,CO,AS27951 
200.110.174.152,200.110.174.175,isp,CO,AS27951 
200.110.174.176,200.110.174.177,education,CO,AS27951 
200.110.174.178,200.110.174.179,business,CO,AS27951 
200.110.174.180,200.110.174.183,isp,CO,AS27951 
200.110.174.184,200.110.174.185,business,CO,AS27951 
200.110.174.186,200.110.174.197,isp,CO,AS27951 
200.110.174.198,200.110.174.199,education,CO,AS27951 
200.110.174.200,200.110.174.207,isp,CO,AS27951 
200.110.174.208,200.110.174.209,business,CO,AS27951 
200.110.174.210,200.110.174.211,isp,CO,AS27951 
200.110.174.212,200.110.174.215,education,CO,AS27951 
200.110.174.216,200.110.174.217,business,CO,AS27951 
200.110.174.218,200.110.174.219,isp,CO,AS27951 
200.110.174.220,200.110.174.221,business,CO,AS27951 
200.110.174.222,200.110.174.223,education,CO,AS27951 
200.110.174.224,200.110.174.231,isp,CO,AS27951 
200.110.174.232,200.110.174.233,business,CO,AS27951 
200.110.174.234,200.110.175.111,isp,CO,AS27951 
200.110.175.112,200.110.175.127,business,CO,AS27951 
200.110.175.128,200.110.175.167,isp,CO,AS27951 
200.110.175.168,200.110.175.175,business,CO,AS27951 
200.110.175.176,200.110.175.255,isp,CO,AS27951 
200.110.176.0,200.110.183.255,isp,AR,AS27881 
200.110.184.0,200.110.185.63,isp,AR,AS27851 
200.110.185.64,200.110.185.79,business,AR,AS27851 
200.110.185.80,200.110.187.2,isp,AR,AS27851 
200.110.187.3,200.110.187.6,business,AR,AS27851 
200.110.187.7,200.110.187.7,isp,AR,AS27851 
200.110.187.8,200.110.187.8,business,AR,AS27851 
200.110.187.9,200.110.187.11,isp,AR,AS27851 
200.110.187.12,200.110.187.12,business,AR,AS27851 
200.110.187.13,200.110.187.17,isp,AR,AS27851 
200.110.187.18,200.110.187.18,business,AR,AS27851 
200.110.187.19,200.110.187.19,isp,AR,AS27851 
200.110.187.20,200.110.187.20,education,AR,AS27851 
200.110.187.21,200.110.187.75,isp,AR,AS27851 
200.110.187.76,200.110.187.76,business,AR,AS27851 
200.110.187.77,200.110.187.255,isp,AR,AS27851 
200.110.188.0,200.110.188.3,business,AR,AS27851 
200.110.188.4,200.110.188.7,isp,AR,AS27851 
200.110.188.8,200.110.188.31,business,AR,AS27851 
200.110.188.32,200.110.188.47,isp,AR,AS27851 
200.110.188.48,200.110.188.55,business,AR,AS27851 
200.110.188.56,200.110.188.67,isp,AR,AS27851 
200.110.188.68,200.110.188.71,business,AR,AS27851 
200.110.188.72,200.110.188.183,isp,AR,AS27851 
200.110.188.184,200.110.188.191,business,AR,AS27851 
200.110.188.192,200.110.188.195,isp,AR,AS27851 
200.110.188.196,200.110.188.199,business,AR,AS27851 
200.110.188.200,200.110.188.203,isp,AR,AS27851 
200.110.188.204,200.110.188.207,education,AR,AS27851 
200.110.188.208,200.110.188.211,isp,AR,AS27851 
200.110.188.212,200.110.188.215,business,AR,AS27851 
200.110.188.216,200.110.188.223,isp,AR,AS27851 
200.110.188.224,200.110.188.235,business,AR,AS27851 
200.110.188.236,200.110.188.239,education,AR,AS27851 
200.110.188.240,200.110.188.255,business,AR,AS27851 
200.110.189.0,200.110.191.255,isp,AR,AS27851 
200.110.192.0,200.110.195.231,isp,AR,AS27940 
200.110.195.232,200.110.195.247,business,AR,AS27940 
200.110.195.248,200.110.199.255,isp,AR,AS27940 
200.110.200.0,200.110.201.247,isp,BR,AS270261 
200.110.201.248,200.110.201.251,business,BR,AS270261 
200.110.201.252,200.110.203.255,isp,BR,AS270261 
200.110.204.0,200.110.207.63,isp,BR,AS270253 
200.110.207.64,200.110.207.71,business,BR,AS270253 
200.110.207.72,200.110.207.215,isp,BR,AS270253 
200.110.207.216,200.110.207.223,business,BR,AS270253 
200.110.207.224,200.110.207.255,isp,BR,AS270253 
200.110.208.0,200.110.215.255,isp,AR,AS27870 
200.110.216.0,200.110.217.15,isp,AR,AS11014 
200.110.217.16,200.110.217.23,business,AR,AS11014 
200.110.217.24,200.110.217.35,isp,AR,AS11014 
200.110.217.36,200.110.217.39,business,AR,AS11014 
200.110.217.40,200.110.217.215,isp,AR,AS11014 
200.110.217.216,200.110.217.223,business,AR,AS11014 
200.110.217.224,200.110.217.239,isp,AR,AS11014 
200.110.217.240,200.110.217.247,business,AR,AS11014 
200.110.217.248,200.110.218.15,isp,AR,AS11014 
200.110.218.16,200.110.218.23,business,AR,AS11014 
200.110.218.24,200.110.218.95,isp,AR,AS11014 
200.110.218.96,200.110.218.111,business,AR,AS11014 
200.110.218.112,200.110.218.155,isp,AR,AS11014 
200.110.218.156,200.110.218.175,business,AR,AS11014 
200.110.218.176,200.110.218.199,isp,AR,AS11014 
200.110.218.200,200.110.218.207,business,AR,AS11014 
200.110.218.208,200.110.218.215,isp,AR,AS11014 
200.110.218.216,200.110.218.223,business,AR,AS11014 
200.110.218.224,200.110.218.247,isp,AR,AS11014 
200.110.218.248,200.110.218.255,business,AR,AS11014 
200.110.219.0,200.110.219.143,isp,AR,AS11014 
200.110.219.144,200.110.219.151,business,AR,AS11014 
200.110.219.152,200.110.219.159,isp,AR,AS11014 
200.110.219.160,200.110.219.175,business,AR,AS11014 
200.110.219.176,200.110.219.191,isp,AR,AS11014 
200.110.219.192,200.110.219.255,business,AR,AS11014 
200.110.220.0,200.110.221.159,isp,AR,AS11014 
200.110.221.160,200.110.221.167,business,AR,AS11014 
200.110.221.168,200.110.221.183,isp,AR,AS11014 
200.110.221.184,200.110.221.191,business,AR,AS11014 
200.110.221.192,200.110.221.199,isp,AR,AS11014 
200.110.221.200,200.110.221.207,business,AR,AS11014 
200.110.221.208,200.110.223.255,isp,AR,AS11014 
200.110.224.0,200.110.231.255,isp,AR, 
200.110.232.0,200.110.239.255,business,US, 
200.110.240.0,200.110.255.255,isp,AR,AS7908 
