200.105.0.0,200.105.5.255,isp,AR 
200.105.6.0,200.105.6.255,business,US 
200.105.7.0,200.105.49.255,isp,AR 
200.105.50.0,200.105.50.255,business,US 
200.105.51.0,200.105.51.255,isp,AR 
200.105.52.0,200.105.52.255,business,US 
200.105.53.0,200.105.95.255,isp,AR 
200.105.96.0,200.105.97.255,business,CR 
200.105.98.0,200.105.101.107,isp,CR 
200.105.101.108,200.105.101.111,isp,US 
200.105.101.112,200.105.103.255,isp,CR 
200.105.104.0,200.105.107.255,isp,AR 
200.105.108.0,200.105.108.63,business,AR 
200.105.108.64,200.105.108.255,isp,AR 
200.105.109.0,200.105.110.15,business,AR 
200.105.110.16,200.105.110.159,isp,AR 
200.105.110.160,200.105.110.175,business,AR 
200.105.110.176,200.105.111.19,isp,AR 
200.105.111.20,200.105.111.23,business,AR 
200.105.111.24,200.105.111.55,isp,AR 
200.105.111.56,200.105.111.79,business,AR 
200.105.111.80,200.105.111.127,isp,AR 
200.105.111.128,200.105.111.191,business,AR 
200.105.111.192,200.105.111.255,isp,AR 
200.105.112.0,200.105.112.199,business,EC 
200.105.112.200,200.105.112.207,isp,EC 
200.105.112.208,200.105.114.143,business,EC 
200.105.114.144,200.105.114.255,isp,EC 
200.105.115.0,200.105.115.223,business,EC 
200.105.115.224,200.105.115.239,isp,EC 
200.105.115.240,200.105.116.31,business,EC 
200.105.116.32,200.105.116.111,isp,EC 
200.105.116.112,200.105.118.23,business,EC 
200.105.118.24,200.105.118.39,isp,EC 
200.105.118.40,200.105.118.111,business,EC 
200.105.118.112,200.105.118.255,isp,EC 
200.105.119.0,200.105.119.111,business,EC 
200.105.119.112,200.105.119.119,isp,EC 
200.105.119.120,200.105.119.255,business,EC 
200.105.120.0,200.105.127.255,business,AR 
200.105.128.0,200.105.136.63,isp,BO 
200.105.136.64,200.105.136.127,business,BO 
200.105.136.128,200.105.167.215,isp,BO 
200.105.167.216,200.105.167.223,business,BO 
200.105.167.224,200.105.223.255,isp,BO 
200.105.224.0,200.105.224.15,business,EC 
200.105.224.16,200.105.224.159,isp,EC 
200.105.224.160,200.105.224.167,business,EC 
200.105.224.168,200.105.224.207,isp,EC 
200.105.224.208,200.105.224.215,business,EC 
200.105.224.216,200.105.225.255,isp,EC 
200.105.226.0,200.105.226.7,business,EC 
200.105.226.8,200.105.226.23,isp,EC 
200.105.226.24,200.105.226.31,business,EC 
200.105.226.32,200.105.226.55,isp,EC 
200.105.226.56,200.105.226.63,business,EC 
200.105.226.64,200.105.226.87,isp,EC 
200.105.226.88,200.105.226.111,business,EC 
200.105.226.112,200.105.226.119,isp,EC 
200.105.226.120,200.105.226.135,business,EC 
200.105.226.136,200.105.226.151,isp,EC 
200.105.226.152,200.105.226.159,business,EC 
200.105.226.160,200.105.226.191,isp,EC 
200.105.226.192,200.105.226.223,business,EC 
200.105.226.224,200.105.226.231,isp,EC 
200.105.226.232,200.105.226.247,business,EC 
200.105.226.248,200.105.227.239,isp,EC 
200.105.227.240,200.105.227.247,business,EC 
200.105.227.248,200.105.228.31,isp,EC 
200.105.228.32,200.105.228.39,business,EC 
200.105.228.40,200.105.228.71,isp,EC 
200.105.228.72,200.105.228.95,business,EC 
200.105.228.96,200.105.228.103,isp,EC 
200.105.228.104,200.105.228.111,business,EC 
200.105.228.112,200.105.228.167,isp,EC 
200.105.228.168,200.105.228.175,business,EC 
200.105.228.176,200.105.228.183,isp,EC 
200.105.228.184,200.105.228.191,business,EC 
200.105.228.192,200.105.228.199,isp,EC 
200.105.228.200,200.105.228.207,education,EC 
200.105.228.208,200.105.228.223,business,EC 
200.105.228.224,200.105.228.231,isp,EC 
200.105.228.232,200.105.228.255,business,EC 
200.105.229.0,200.105.229.79,isp,EC 
200.105.229.80,200.105.229.87,business,EC 
200.105.229.88,200.105.229.127,isp,EC 
200.105.229.128,200.105.229.131,business,EC 
200.105.229.132,200.105.229.135,isp,EC 
200.105.229.136,200.105.229.143,business,EC 
200.105.229.144,200.105.229.151,isp,EC 
200.105.229.152,200.105.229.155,business,EC 
200.105.229.156,200.105.229.167,isp,EC 
200.105.229.168,200.105.229.175,business,EC 
200.105.229.176,200.105.230.39,isp,EC 
200.105.230.40,200.105.230.47,business,EC 
200.105.230.48,200.105.230.71,isp,EC 
200.105.230.72,200.105.230.79,business,EC 
200.105.230.80,200.105.230.95,isp,EC 
200.105.230.96,200.105.230.119,business,EC 
200.105.230.120,200.105.230.135,isp,EC 
200.105.230.136,200.105.230.143,business,EC 
200.105.230.144,200.105.230.175,isp,EC 
200.105.230.176,200.105.230.183,business,EC 
200.105.230.184,200.105.231.23,isp,EC 
200.105.231.24,200.105.231.31,business,EC 
200.105.231.32,200.105.231.39,isp,EC 
200.105.231.40,200.105.231.47,business,EC 
200.105.231.48,200.105.231.87,isp,EC 
200.105.231.88,200.105.231.95,business,EC 
200.105.231.96,200.105.231.103,isp,EC 
200.105.231.104,200.105.231.111,business,EC 
200.105.231.112,200.105.231.119,isp,EC 
200.105.231.120,200.105.231.135,business,EC 
200.105.231.136,200.105.231.143,isp,EC 
200.105.231.144,200.105.231.151,business,EC 
