200.116.0.0,200.116.42.79,isp,CO,AS13489 
200.116.42.80,200.116.42.95,business,CO,AS13489 
200.116.42.96,200.116.124.111,isp,CO,AS13489 
200.116.124.112,200.116.124.119,business,CO,AS13489 
200.116.124.120,200.116.124.255,isp,CO,AS13489 
200.116.125.0,200.116.125.255,education,CO,AS13489 
200.116.126.0,200.116.127.63,isp,CO,AS13489 
200.116.127.64,200.116.127.71,education,CO,AS13489 
200.116.127.72,200.116.128.7,isp,CO,AS13489 
200.116.128.8,200.116.128.15,business,CO,AS13489 
200.116.128.16,200.116.192.63,isp,CO,AS13489 
200.116.192.64,200.116.192.71,business,CO,AS13489 
200.116.192.72,200.116.192.111,isp,CO,AS13489 
200.116.192.112,200.116.192.119,business,CO,AS13489 
200.116.192.120,200.116.192.127,isp,CO,AS13489 
200.116.192.128,200.116.192.135,business,CO,AS13489 
200.116.192.136,200.116.192.151,isp,CO,AS13489 
200.116.192.152,200.116.192.159,business,CO,AS13489 
200.116.192.160,200.116.192.223,isp,CO,AS13489 
200.116.192.224,200.116.192.231,business,CO,AS13489 
200.116.192.232,200.116.193.175,isp,CO,AS13489 
200.116.193.176,200.116.193.183,business,CO,AS13489 
200.116.193.184,200.116.193.199,isp,CO,AS13489 
200.116.193.200,200.116.193.207,business,CO,AS13489 
200.116.193.208,200.116.193.215,isp,CO,AS13489 
200.116.193.216,200.116.193.223,business,CO,AS13489 
200.116.193.224,200.116.194.31,isp,CO,AS13489 
200.116.194.32,200.116.194.39,business,CO,AS13489 
200.116.194.40,200.116.194.55,isp,CO,AS13489 
200.116.194.56,200.116.194.63,business,CO,AS13489 
200.116.194.64,200.116.194.127,isp,CO,AS13489 
200.116.194.128,200.116.194.135,business,CO,AS13489 
200.116.194.136,200.116.194.247,isp,CO,AS13489 
200.116.194.248,200.116.194.255,business,CO,AS13489 
200.116.195.0,200.116.195.135,isp,CO,AS13489 
200.116.195.136,200.116.195.143,business,CO,AS13489 
200.116.195.144,200.116.195.191,isp,CO,AS13489 
200.116.195.192,200.116.195.199,business,CO,AS13489 
200.116.195.200,200.116.196.39,isp,CO,AS13489 
200.116.196.40,200.116.196.63,business,CO,AS13489 
200.116.196.64,200.116.196.111,isp,CO,AS13489 
200.116.196.112,200.116.196.127,business,CO,AS13489 
200.116.196.128,200.116.196.239,isp,CO,AS13489 
200.116.196.240,200.116.196.255,business,CO,AS13489 
200.116.197.0,200.116.197.47,isp,CO,AS13489 
200.116.197.48,200.116.197.55,business,CO,AS13489 
200.116.197.56,200.116.197.71,isp,CO,AS13489 
200.116.197.72,200.116.197.79,business,CO,AS13489 
200.116.197.80,200.116.197.167,isp,CO,AS13489 
200.116.197.168,200.116.197.175,business,CO,AS13489 
200.116.197.176,200.116.198.215,isp,CO,AS13489 
200.116.198.216,200.116.198.239,business,CO,AS13489 
200.116.198.240,200.116.198.247,isp,CO,AS13489 
200.116.198.248,200.116.199.7,business,CO,AS13489 
200.116.199.8,200.116.199.23,isp,CO,AS13489 
200.116.199.24,200.116.199.31,business,CO,AS13489 
200.116.199.32,200.116.199.127,isp,CO,AS13489 
200.116.199.128,200.116.199.135,business,CO,AS13489 
200.116.199.136,200.116.199.151,isp,CO,AS13489 
200.116.199.152,200.116.199.167,business,CO,AS13489 
200.116.199.168,200.116.199.183,isp,CO,AS13489 
200.116.199.184,200.116.199.191,business,CO,AS13489 
200.116.199.192,200.116.199.223,isp,CO,AS13489 
200.116.199.224,200.116.199.231,education,CO,AS13489 
200.116.199.232,200.116.204.215,isp,CO,AS13489 
200.116.204.216,200.116.204.223,business,CO,AS13489 
200.116.204.224,200.116.205.231,isp,CO,AS13489 
200.116.205.232,200.116.205.239,business,CO,AS13489 
200.116.205.240,200.116.206.79,isp,CO,AS13489 
200.116.206.80,200.116.206.87,business,CO,AS13489 
200.116.206.88,200.116.206.191,isp,CO,AS13489 
200.116.206.192,200.116.206.199,business,CO,AS13489 
200.116.206.200,200.116.206.231,isp,CO,AS13489 
200.116.206.232,200.116.206.239,business,CO,AS13489 
200.116.206.240,200.116.207.63,isp,CO,AS13489 
200.116.207.64,200.116.207.71,business,CO,AS13489 
200.116.207.72,200.116.208.47,isp,CO,AS13489 
200.116.208.48,200.116.208.55,business,CO,AS13489 
200.116.208.56,200.116.208.103,isp,CO,AS13489 
