1.179.0.0,1.179.31.255,hosting,AU 
1.179.32.0,1.179.39.255,isp,AU 
1.179.40.0,1.179.47.255,isp,PS 
1.179.48.0,1.179.61.255,hosting,AU 
1.179.62.0,1.179.71.255,business,AU 
1.179.72.0,1.179.79.255,isp,PS 
1.179.80.0,1.179.87.255,isp,AU 
1.179.88.0,1.179.95.255,isp,PS 
1.179.96.0,1.179.111.255,hosting,AU 
1.179.112.0,1.179.127.255,hosting,FR 
1.179.128.0,1.179.128.87,isp,TH 
1.179.128.88,1.179.128.91,business,TH 
1.179.128.92,1.179.128.159,isp,TH 
1.179.128.160,1.179.128.167,business,TH 
1.179.128.168,1.179.129.19,isp,TH 
1.179.129.20,1.179.129.23,business,TH 
1.179.129.24,1.179.131.227,isp,TH 
1.179.131.228,1.179.131.231,business,TH 
1.179.131.232,1.179.133.223,isp,TH 
1.179.133.224,1.179.133.227,business,TH 
1.179.133.228,1.179.134.39,isp,TH 
1.179.134.40,1.179.134.43,business,TH 
1.179.134.44,1.179.134.127,isp,TH 
1.179.134.128,1.179.134.159,business,TH 
1.179.134.160,1.179.138.107,isp,TH 
1.179.138.108,1.179.138.111,business,TH 
1.179.138.112,1.179.138.159,isp,TH 
1.179.138.160,1.179.138.167,business,TH 
1.179.138.168,1.179.140.95,isp,TH 
1.179.140.96,1.179.140.99,business,TH 
1.179.140.100,1.179.141.183,isp,TH 
1.179.141.184,1.179.141.191,business,TH 
1.179.141.192,1.179.146.55,isp,TH 
1.179.146.56,1.179.146.59,business,TH 
1.179.146.60,1.179.146.63,isp,TH 
1.179.146.64,1.179.146.67,business,TH 
1.179.146.68,1.179.146.71,isp,TH 
1.179.146.72,1.179.146.75,business,TH 
1.179.146.76,1.179.146.183,isp,TH 
1.179.146.184,1.179.146.191,business,TH 
1.179.146.192,1.179.148.47,isp,TH 
1.179.148.48,1.179.148.51,business,TH 
1.179.148.52,1.179.149.211,isp,TH 
1.179.149.212,1.179.149.215,business,TH 
1.179.149.216,1.179.154.195,isp,TH 
1.179.154.196,1.179.154.199,business,TH 
1.179.154.200,1.179.156.123,isp,TH 
1.179.156.124,1.179.156.127,business,TH 
1.179.156.128,1.179.156.179,isp,TH 
1.179.156.180,1.179.156.183,education,TH 
1.179.156.184,1.179.159.187,isp,TH 
1.179.159.188,1.179.159.191,business,TH 
1.179.159.192,1.179.160.159,isp,TH 
1.179.160.160,1.179.160.223,business,TH 
1.179.160.224,1.179.160.255,isp,TH 
1.179.161.0,1.179.161.255,business,TH 
1.179.162.0,1.179.167.99,isp,TH 
1.179.167.100,1.179.167.103,business,TH 
1.179.167.104,1.179.167.127,isp,TH 
1.179.167.128,1.179.167.131,business,TH 
1.179.167.132,1.179.172.31,isp,TH 
1.179.172.32,1.179.172.35,business,TH 
1.179.172.36,1.179.172.63,isp,TH 
1.179.172.64,1.179.172.67,business,TH 
1.179.172.68,1.179.173.151,isp,TH 
1.179.173.152,1.179.173.155,business,TH 
1.179.173.156,1.179.173.163,isp,TH 
1.179.173.164,1.179.173.167,education,TH 
1.179.173.168,1.179.178.95,isp,TH 
1.179.178.96,1.179.178.99,business,TH 
1.179.178.100,1.179.178.171,isp,TH 
1.179.178.172,1.179.178.175,business,TH 
1.179.178.176,1.179.178.179,isp,TH 
1.179.178.180,1.179.178.183,business,TH 
1.179.178.184,1.179.190.247,isp,TH 
1.179.190.248,1.179.190.251,business,TH 
1.179.190.252,1.179.192.100,isp,TH 
1.179.192.101,1.179.192.102,business,TH 
1.179.192.103,1.179.192.191,isp,TH 
1.179.192.192,1.179.192.195,education,TH 
1.179.192.196,1.179.194.79,isp,TH 
1.179.194.80,1.179.194.83,business,TH 
1.179.194.84,1.179.198.155,isp,TH 
1.179.198.156,1.179.198.159,business,TH 
1.179.198.160,1.179.206.115,isp,TH 
1.179.206.116,1.179.206.119,education,TH 
1.179.206.120,1.179.206.128,isp,TH 
1.179.206.129,1.179.206.130,business,TH 
1.179.206.131,1.179.206.136,isp,TH 
1.179.206.137,1.179.206.138,business,TH 
1.179.206.139,1.179.206.140,isp,TH 
1.179.206.141,1.179.206.142,business,TH 
1.179.206.143,1.179.206.144,isp,TH 
1.179.206.145,1.179.206.146,business,TH 
1.179.206.147,1.179.206.148,isp,TH 
1.179.206.149,1.179.206.150,business,TH 
1.179.206.151,1.179.206.184,isp,TH 
1.179.206.185,1.179.206.186,business,TH 
1.179.206.187,1.179.206.188,isp,TH 
1.179.206.189,1.179.206.190,business,TH 
1.179.206.191,1.179.208.176,isp,TH 
1.179.208.177,1.179.208.178,business,TH 
1.179.208.179,1.179.208.212,isp,TH 
1.179.208.213,1.179.208.214,business,TH 
1.179.208.215,1.179.220.255,isp,TH 
1.179.221.0,1.179.221.255,business,TH 
1.179.222.0,1.179.228.43,isp,TH 
1.179.228.44,1.179.228.47,business,TH 
1.179.228.48,1.179.255.255,isp,TH 
