165.125.0.0,165.125.0.255,business,US,AS16875 
165.125.1.0,165.125.1.255,hosting,SA,AS29684 
165.125.2.0,165.125.177.255,business,US,AS16875 
165.125.178.0,165.125.178.255,business,NL,AS16875 
165.125.179.0,165.125.179.255,business,US,AS16875 
165.125.180.0,165.125.180.255,business,SG,AS16875 
165.125.181.0,165.125.182.255,business,AU,AS16875 
165.125.183.0,165.125.184.255,business,US,AS16875 
165.125.185.0,165.125.185.255,business,NL,AS16875 
165.125.186.0,165.125.186.255,business,NL, 
165.125.187.0,165.125.187.255,business,US,AS16875 
165.125.188.0,165.125.188.255,business,GB,AS16875 
165.125.189.0,165.125.189.255,hosting,GB,AS16875 
165.125.190.0,165.125.190.255,business,GB, 
165.125.191.0,165.125.199.255,business,US,AS16875 
165.125.200.0,165.125.201.255,business,AU,AS16875 
165.125.202.0,165.125.213.255,business,US,AS16875 
165.125.214.0,165.125.214.255,business,IN,AS16875 
165.125.215.0,165.125.255.255,business,US,AS16875 
