118.102.0.0,118.102.0.127,hosting,VN,AS38244 
118.102.0.128,118.102.7.255,business,VN,AS38244 
118.102.8.0,118.102.15.255,isp,HK,AS38186 
118.102.16.0,118.102.31.255,business,CN,AS4847 
118.102.32.0,118.102.39.255,isp,CN, 
118.102.40.0,118.102.63.255,isp,JP,AS23791 
118.102.64.0,118.102.115.255,isp,AU,AS7545 
118.102.116.0,118.102.116.7,business,AU,AS7545 
118.102.116.8,118.102.116.15,isp,AU,AS7545 
118.102.116.16,118.102.116.103,business,AU,AS7545 
118.102.116.104,118.102.116.111,education,AU,AS7545 
118.102.116.112,118.102.116.199,business,AU,AS7545 
118.102.116.200,118.102.116.215,isp,AU,AS7545 
118.102.116.216,118.102.116.223,business,AU,AS7545 
118.102.116.224,118.102.116.231,isp,AU,AS7545 
118.102.116.232,118.102.116.255,business,AU,AS7545 
118.102.117.0,118.102.127.255,isp,AU,AS7545 
118.102.128.0,118.102.128.3,isp,IN, 
118.102.128.4,118.102.128.7,business,IN, 
118.102.128.8,118.102.128.31,isp,IN, 
118.102.128.32,118.102.128.39,business,IN, 
118.102.128.40,118.102.128.47,isp,IN, 
118.102.128.48,118.102.128.51,business,IN, 
118.102.128.52,118.102.128.103,isp,IN, 
118.102.128.104,118.102.128.107,business,IN, 
118.102.128.108,118.102.128.159,isp,IN, 
118.102.128.160,118.102.128.175,business,IN, 
118.102.128.176,118.102.128.207,isp,IN, 
118.102.128.208,118.102.129.7,business,IN, 
118.102.129.8,118.102.129.23,isp,IN, 
118.102.129.24,118.102.129.64,business,IN, 
118.102.129.65,118.102.129.79,isp,IN, 
118.102.129.80,118.102.129.127,business,IN, 
118.102.129.128,118.102.129.183,isp,IN, 
118.102.129.184,118.102.129.207,business,IN, 
118.102.129.208,118.102.129.215,isp,IN, 
118.102.129.216,118.102.129.255,business,IN, 
118.102.130.0,118.102.130.7,isp,IN, 
118.102.130.8,118.102.130.15,business,IN, 
118.102.130.16,118.102.130.207,isp,IN, 
118.102.130.208,118.102.130.223,business,IN, 
118.102.130.224,118.102.131.255,isp,IN, 
118.102.132.0,118.102.132.3,business,IN, 
