158.172.0.0,158.172.95.255,isp,ES,AS64411 
158.172.96.0,158.172.99.255,hosting,ES,AS61388 
158.172.100.0,158.172.127.255,business,ES, 
158.172.128.0,158.172.139.255,isp,ES,AS200845 
158.172.140.0,158.172.141.255,isp,ES,AS27882 
158.172.142.0,158.172.142.255,business,ES,AS202766 
158.172.143.0,158.172.143.255,isp,ES,AS27882 
158.172.144.0,158.172.147.255,isp,ES,AS29119 
158.172.148.0,158.172.151.255,isp,ES,AS27882 
158.172.152.0,158.172.159.255,isp,BO,AS27882 
158.172.160.0,158.172.191.255,isp,ES,AS27882 
158.172.192.0,158.172.219.255,business,ES, 
158.172.220.0,158.172.221.255,hosting,CO,AS52468 
158.172.222.0,158.172.222.255,hosting,ES,AS52468 
158.172.223.0,158.172.223.255,business,HN, 
158.172.224.0,158.172.227.255,isp,BO,AS27882 
158.172.228.0,158.172.231.255,business,ES,AS27882 
158.172.232.0,158.172.235.255,business,ES, 
158.172.236.0,158.172.247.255,business,ES,AS27882 
158.172.248.0,158.172.251.255,business,ES, 
158.172.252.0,158.172.255.255,business,ES,AS27882 
